Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,sensor,LIME,0.7428571428571429,0.7395016439770659,24,0
SVM,wisdm,sensor,LIME,0.7571428571428571,0.7539187211527637,23,12
SVM,wisdm,sensor,LIME,0.7857142857142857,0.783014436719499,22,1
SVM,wisdm,sensor,LIME,0.7428571428571429,0.7413146021328958,21,13
SVM,wisdm,sensor,LIME,0.7357142857142858,0.7331603784338995,20,3
SVM,wisdm,sensor,LIME,0.75,0.7468338140523169,19,4
SVM,wisdm,sensor,LIME,0.7142857142857143,0.7126002415458939,18,23
SVM,wisdm,sensor,LIME,0.7357142857142858,0.7322201771658292,17,14
SVM,wisdm,sensor,LIME,0.7285714285714285,0.7266608476064997,16,21
SVM,wisdm,sensor,LIME,0.7071428571428572,0.7045833333333333,15,16
SVM,wisdm,sensor,LIME,0.7142857142857143,0.7117881865699043,14,7
SVM,wisdm,sensor,LIME,0.7,0.6887778887778888,13,5
SVM,wisdm,sensor,LIME,0.6857142857142857,0.670059582919563,12,15
SVM,wisdm,sensor,LIME,0.6642857142857143,0.6486993069026511,11,2
SVM,wisdm,sensor,LIME,0.6571428571428571,0.6375146703254206,10,19
SVM,wisdm,sensor,LIME,0.7071428571428572,0.6960814138202552,9,18
SVM,wisdm,sensor,LIME,0.6928571428571428,0.6849324534268834,8,20
SVM,wisdm,sensor,LIME,0.6714285714285714,0.6674320500069667,7,17
SVM,wisdm,sensor,LIME,0.6857142857142857,0.68091111971818,6,8
SVM,wisdm,sensor,LIME,0.6857142857142857,0.6801250601250601,5,6
SVM,wisdm,sensor,LIME,0.6571428571428571,0.648408268732946,4,10
SVM,wisdm,sensor,LIME,0.6285714285714286,0.6220163841711915,3,11
SVM,wisdm,sensor,LIME,0.5857142857142857,0.5816115735495406,2,9
SVM,wisdm,sensor,LIME,0.42857142857142855,0.3680263864042934,1,22
