Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,sensor,ORACLE,0.7428571428571429,0.7395016439770659,24,1
SVM,wisdm,sensor,ORACLE,0.7214285714285714,0.7185170857511283,23,13
SVM,wisdm,sensor,ORACLE,0.7142857142857143,0.713475583311649,22,23
SVM,wisdm,sensor,ORACLE,0.7214285714285714,0.7212258190244139,21,20
SVM,wisdm,sensor,ORACLE,0.7214285714285714,0.7199033972525427,20,17
SVM,wisdm,sensor,ORACLE,0.7142857142857143,0.7116153996606599,19,16
SVM,wisdm,sensor,ORACLE,0.7142857142857143,0.7116153996606599,18,15
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7280074052707579,17,14
SVM,wisdm,sensor,ORACLE,0.7142857142857143,0.7144851118342572,16,12
SVM,wisdm,sensor,ORACLE,0.7214285714285714,0.720929924882844,15,22
SVM,wisdm,sensor,ORACLE,0.7214285714285714,0.720929924882844,14,11
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7278615983287539,13,9
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7278615983287539,12,8
SVM,wisdm,sensor,ORACLE,0.7285714285714285,0.7278615983287539,11,6
SVM,wisdm,sensor,ORACLE,0.7142857142857143,0.714177387802438,10,5
SVM,wisdm,sensor,ORACLE,0.7142857142857143,0.714177387802438,9,4
SVM,wisdm,sensor,ORACLE,0.7142857142857143,0.7146333011461031,8,10
SVM,wisdm,sensor,ORACLE,0.7071428571428572,0.7066302179911171,7,7
SVM,wisdm,sensor,ORACLE,0.6785714285714286,0.6774790919952209,6,3
SVM,wisdm,sensor,ORACLE,0.6714285714285714,0.6723915869077159,5,18
SVM,wisdm,sensor,ORACLE,0.6928571428571428,0.6930943220639566,4,19
SVM,wisdm,sensor,ORACLE,0.6785714285714286,0.6791127665222361,3,2
SVM,wisdm,sensor,ORACLE,0.6428571428571429,0.630054668496293,2,21
SVM,wisdm,sensor,ORACLE,0.6428571428571429,0.635769241550448,1,0
