Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,kuhar,all,ORACLE,0.8333333333333334,0.831642953670603,24,0
Decision Tree,kuhar,all,ORACLE,0.8690476190476191,0.8661289849493117,23,10
Decision Tree,kuhar,all,ORACLE,0.8571428571428571,0.8538316185660353,22,7
Decision Tree,kuhar,all,ORACLE,0.8571428571428571,0.8554758587047876,21,22
Decision Tree,kuhar,all,ORACLE,0.8690476190476191,0.8668530033708098,20,19
Decision Tree,kuhar,all,ORACLE,0.8571428571428571,0.8546682066553486,19,4
Decision Tree,kuhar,all,ORACLE,0.8690476190476191,0.8638177533995582,18,13
Decision Tree,kuhar,all,ORACLE,0.8571428571428571,0.8516340846302478,17,21
Decision Tree,kuhar,all,ORACLE,0.8630952380952381,0.8596536833315219,16,20
Decision Tree,kuhar,all,ORACLE,0.8571428571428571,0.8535393783999169,15,18
Decision Tree,kuhar,all,ORACLE,0.8392857142857143,0.8367515574062744,14,15
Decision Tree,kuhar,all,ORACLE,0.8511904761904762,0.851400573529035,13,11
Decision Tree,kuhar,all,ORACLE,0.8392857142857143,0.8375611018799262,12,6
Decision Tree,kuhar,all,ORACLE,0.8452380952380952,0.8445002784883185,11,12
Decision Tree,kuhar,all,ORACLE,0.8154761904761905,0.8143701996927803,10,17
Decision Tree,kuhar,all,ORACLE,0.8273809523809523,0.8258371735791092,9,23
Decision Tree,kuhar,all,ORACLE,0.8333333333333334,0.8323267206630582,8,16
Decision Tree,kuhar,all,ORACLE,0.7976190476190477,0.7962366968987117,7,1
Decision Tree,kuhar,all,ORACLE,0.8035714285714286,0.8029763776226707,6,8
Decision Tree,kuhar,all,ORACLE,0.8035714285714286,0.8024315250455433,5,14
Decision Tree,kuhar,all,ORACLE,0.7857142857142857,0.7853139818749755,4,3
Decision Tree,kuhar,all,ORACLE,0.7916666666666666,0.7912468407695371,3,9
Decision Tree,kuhar,all,ORACLE,0.7023809523809523,0.7050853943170942,2,2
Decision Tree,kuhar,all,ORACLE,0.42857142857142855,0.4243973921298904,1,5
