Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,all,SHAP,0.8988095238095238,0.8993200594077787,24,16
KNN,kuhar,all,SHAP,0.8988095238095238,0.8993200594077787,23,17
KNN,kuhar,all,SHAP,0.8988095238095238,0.8993200594077787,22,9
KNN,kuhar,all,SHAP,0.8988095238095238,0.8993200594077787,21,21
KNN,kuhar,all,SHAP,0.8928571428571429,0.893263250719391,20,23
KNN,kuhar,all,SHAP,0.8988095238095238,0.8989788851555337,19,15
KNN,kuhar,all,SHAP,0.8988095238095238,0.8989788851555337,18,7
KNN,kuhar,all,SHAP,0.9047619047619048,0.9051572097549108,17,13
KNN,kuhar,all,SHAP,0.9107142857142856,0.911120393576534,16,22
KNN,kuhar,all,SHAP,0.9047619047619048,0.9050635848881462,15,11
KNN,kuhar,all,SHAP,0.9047619047619048,0.9050635848881462,14,20
KNN,kuhar,all,SHAP,0.9047619047619048,0.9050635848881462,13,18
KNN,kuhar,all,SHAP,0.9047619047619048,0.9050635848881462,12,12
KNN,kuhar,all,SHAP,0.9047619047619048,0.9050635848881462,11,14
KNN,kuhar,all,SHAP,0.9047619047619048,0.9050635848881462,10,5
KNN,kuhar,all,SHAP,0.9166666666666666,0.9168639190569016,9,19
KNN,kuhar,all,SHAP,0.9166666666666666,0.9168639190569016,8,10
KNN,kuhar,all,SHAP,0.9107142857142856,0.9112825864238294,7,3
KNN,kuhar,all,SHAP,0.9166666666666666,0.91694805049312,6,6
KNN,kuhar,all,SHAP,0.9285714285714286,0.9287591875311172,5,8
KNN,kuhar,all,SHAP,0.9226190476190476,0.9228909380149548,4,1
KNN,kuhar,all,SHAP,0.9107142857142856,0.9112369743092518,3,4
KNN,kuhar,all,SHAP,0.8333333333333334,0.8320115102571243,2,2
KNN,kuhar,all,SHAP,0.5833333333333334,0.5750523909137657,1,0
