Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,kuhar,all,ORACLE,0.8988095238095238,0.8974999306985748,24,5
Random Forest,kuhar,all,ORACLE,0.9166666666666666,0.9157696284133068,23,2
Random Forest,kuhar,all,ORACLE,0.8988095238095238,0.8973761554509876,22,21
Random Forest,kuhar,all,ORACLE,0.8928571428571429,0.8908785980596864,21,18
Random Forest,kuhar,all,ORACLE,0.9107142857142856,0.9088852568781204,20,22
Random Forest,kuhar,all,ORACLE,0.8869047619047619,0.8847653090293591,19,15
Random Forest,kuhar,all,ORACLE,0.9166666666666666,0.9160974536655117,18,23
Random Forest,kuhar,all,ORACLE,0.9047619047619048,0.903322840345041,17,1
Random Forest,kuhar,all,ORACLE,0.8809523809523809,0.8782265378240611,16,4
Random Forest,kuhar,all,ORACLE,0.8809523809523809,0.8791384222418706,15,19
Random Forest,kuhar,all,ORACLE,0.9107142857142856,0.9092760488986904,14,8
Random Forest,kuhar,all,ORACLE,0.875,0.8723605683587806,13,9
Random Forest,kuhar,all,ORACLE,0.8928571428571429,0.8918992884510127,12,16
Random Forest,kuhar,all,ORACLE,0.8988095238095238,0.8973761554509876,11,12
Random Forest,kuhar,all,ORACLE,0.8809523809523809,0.8789314134141722,10,11
Random Forest,kuhar,all,ORACLE,0.8869047619047619,0.8854330880093073,9,13
Random Forest,kuhar,all,ORACLE,0.8928571428571429,0.891739709874833,8,10
Random Forest,kuhar,all,ORACLE,0.9107142857142856,0.9096371920910497,7,3
Random Forest,kuhar,all,ORACLE,0.9107142857142856,0.9100130085459788,6,14
Random Forest,kuhar,all,ORACLE,0.8928571428571429,0.8928571428571428,5,7
Random Forest,kuhar,all,ORACLE,0.8988095238095238,0.8977498448660288,4,6
Random Forest,kuhar,all,ORACLE,0.875,0.8745894029051756,3,0
Random Forest,kuhar,all,ORACLE,0.7857142857142857,0.7858984582668794,2,17
Random Forest,kuhar,all,ORACLE,0.5773809523809523,0.5641432812395974,1,20
