Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,kuhar,all,ORACLE,0.7321428571428571,0.7150793650793652,24,20
SVM,kuhar,all,ORACLE,0.7440476190476191,0.7299514519812789,23,3
SVM,kuhar,all,ORACLE,0.7380952380952381,0.7220730715908564,22,9
SVM,kuhar,all,ORACLE,0.75,0.7373405463167034,21,0
SVM,kuhar,all,ORACLE,0.7380952380952381,0.7357975425937037,20,7
SVM,kuhar,all,ORACLE,0.75,0.7448825308106651,19,21
SVM,kuhar,all,ORACLE,0.7440476190476191,0.7378824360867852,18,19
SVM,kuhar,all,ORACLE,0.7440476190476191,0.7378824360867852,17,18
SVM,kuhar,all,ORACLE,0.7142857142857143,0.6958068364596981,16,17
SVM,kuhar,all,ORACLE,0.7261904761904762,0.7126038966778111,15,16
SVM,kuhar,all,ORACLE,0.7142857142857143,0.6925738706400036,14,15
SVM,kuhar,all,ORACLE,0.7321428571428571,0.7142271866344343,13,14
SVM,kuhar,all,ORACLE,0.7202380952380952,0.6961810885883363,12,13
SVM,kuhar,all,ORACLE,0.7380952380952381,0.7227241046050364,11,11
SVM,kuhar,all,ORACLE,0.7321428571428571,0.7142271866344343,10,10
SVM,kuhar,all,ORACLE,0.7619047619047619,0.7521310781990435,9,8
SVM,kuhar,all,ORACLE,0.7619047619047619,0.7573729122570828,8,5
SVM,kuhar,all,ORACLE,0.7738095238095238,0.7692529628466874,7,12
SVM,kuhar,all,ORACLE,0.7678571428571429,0.7605730273487145,6,23
SVM,kuhar,all,ORACLE,0.7619047619047619,0.7551696996534502,5,22
SVM,kuhar,all,ORACLE,0.75,0.745118316927348,4,4
SVM,kuhar,all,ORACLE,0.6845238095238095,0.6744144774806106,3,6
SVM,kuhar,all,ORACLE,0.7142857142857143,0.713530827080831,2,1
SVM,kuhar,all,ORACLE,0.6964285714285714,0.6893283061024996,1,2
