Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,kuhar,sensor,Tree,0.8571428571428571,0.8572309815993857,24,21
Decision Tree,kuhar,sensor,Tree,0.9047619047619048,0.9042955608585184,23,22
Decision Tree,kuhar,sensor,Tree,0.8571428571428571,0.8592209876070721,22,13
Decision Tree,kuhar,sensor,Tree,0.8690476190476191,0.870039193676042,21,8
Decision Tree,kuhar,sensor,Tree,0.8333333333333334,0.8351354348555727,20,6
Decision Tree,kuhar,sensor,Tree,0.8869047619047619,0.8865939084329889,19,4
Decision Tree,kuhar,sensor,Tree,0.8571428571428571,0.8586986936885518,18,10
Decision Tree,kuhar,sensor,Tree,0.8630952380952381,0.8624789004099349,17,7
Decision Tree,kuhar,sensor,Tree,0.8809523809523809,0.8803499182809528,16,2
Decision Tree,kuhar,sensor,Tree,0.8928571428571429,0.892754785439888,15,1
Decision Tree,kuhar,sensor,Tree,0.875,0.87442841250069,14,9
Decision Tree,kuhar,sensor,Tree,0.8690476190476191,0.8686055323986358,13,20
Decision Tree,kuhar,sensor,Tree,0.8571428571428571,0.8559406466522175,12,17
Decision Tree,kuhar,sensor,Tree,0.8571428571428571,0.8567316356592207,11,16
Decision Tree,kuhar,sensor,Tree,0.8690476190476191,0.8686055323986358,10,18
Decision Tree,kuhar,sensor,Tree,0.8630952380952381,0.8623711621443019,9,11
Decision Tree,kuhar,sensor,Tree,0.8690476190476191,0.8680277336916399,8,0
Decision Tree,kuhar,sensor,Tree,0.8809523809523809,0.8794878610668083,7,5
Decision Tree,kuhar,sensor,Tree,0.8630952380952381,0.8602783022611805,6,15
Decision Tree,kuhar,sensor,Tree,0.9107142857142856,0.9098691123395312,5,23
Decision Tree,kuhar,sensor,Tree,0.875,0.8728922110118144,4,14
Decision Tree,kuhar,sensor,Tree,0.8154761904761905,0.8136716786322072,3,19
Decision Tree,kuhar,sensor,Tree,0.6369047619047619,0.648013468013468,2,3
Decision Tree,kuhar,sensor,Tree,0.5119047619047619,0.5178155066169594,1,12
