Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,sensor,LIME,0.9404761904761904,0.940066648585828,24,18
KNN,kuhar,sensor,LIME,0.9404761904761904,0.940066648585828,23,11
KNN,kuhar,sensor,LIME,0.9404761904761904,0.940066648585828,22,10
KNN,kuhar,sensor,LIME,0.9404761904761904,0.940066648585828,21,8
KNN,kuhar,sensor,LIME,0.9404761904761904,0.940066648585828,20,22
KNN,kuhar,sensor,LIME,0.9404761904761904,0.940066648585828,19,17
KNN,kuhar,sensor,LIME,0.9404761904761904,0.940066648585828,18,6
KNN,kuhar,sensor,LIME,0.9404761904761904,0.9403540903540902,17,9
KNN,kuhar,sensor,LIME,0.9464285714285714,0.9462969778759251,16,5
KNN,kuhar,sensor,LIME,0.9464285714285714,0.9462969778759251,15,20
KNN,kuhar,sensor,LIME,0.9404761904761904,0.9403084782395128,14,15
KNN,kuhar,sensor,LIME,0.9404761904761904,0.9403084782395128,13,2
KNN,kuhar,sensor,LIME,0.9404761904761904,0.9403084782395128,12,7
KNN,kuhar,sensor,LIME,0.9404761904761904,0.9403084782395128,11,16
KNN,kuhar,sensor,LIME,0.9404761904761904,0.9403084782395128,10,23
KNN,kuhar,sensor,LIME,0.9345238095238096,0.9343884185989448,9,13
KNN,kuhar,sensor,LIME,0.9345238095238096,0.9343884185989448,8,4
KNN,kuhar,sensor,LIME,0.9285714285714286,0.9280631824203938,7,21
KNN,kuhar,sensor,LIME,0.9285714285714286,0.9280631824203938,6,14
KNN,kuhar,sensor,LIME,0.9107142857142856,0.9103062555892744,5,3
KNN,kuhar,sensor,LIME,0.8928571428571429,0.8917673007995589,4,1
KNN,kuhar,sensor,LIME,0.8869047619047619,0.8847256121216152,3,19
KNN,kuhar,sensor,LIME,0.7678571428571429,0.7670641902899967,2,12
KNN,kuhar,sensor,LIME,0.5714285714285714,0.5713061858526366,1,0
