Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,kuhar,sensor,ORACLE,0.9404761904761904,0.940066648585828,24,11
KNN,kuhar,sensor,ORACLE,0.9404761904761904,0.940066648585828,23,20
KNN,kuhar,sensor,ORACLE,0.9404761904761904,0.940066648585828,22,18
KNN,kuhar,sensor,ORACLE,0.9404761904761904,0.940066648585828,21,17
KNN,kuhar,sensor,ORACLE,0.9404761904761904,0.940066648585828,20,15
KNN,kuhar,sensor,ORACLE,0.9404761904761904,0.9403540903540902,19,14
KNN,kuhar,sensor,ORACLE,0.9345238095238096,0.9344210297040484,18,12
KNN,kuhar,sensor,ORACLE,0.9404761904761904,0.9403639172258834,17,22
KNN,kuhar,sensor,ORACLE,0.9345238095238096,0.9343754175894708,16,10
KNN,kuhar,sensor,ORACLE,0.9345238095238096,0.9343754175894708,15,23
KNN,kuhar,sensor,ORACLE,0.9345238095238096,0.9344210297040484,14,8
KNN,kuhar,sensor,ORACLE,0.9345238095238096,0.9344210297040484,13,7
KNN,kuhar,sensor,ORACLE,0.9345238095238096,0.9344210297040484,12,5
KNN,kuhar,sensor,ORACLE,0.9345238095238096,0.9344210297040484,11,2
KNN,kuhar,sensor,ORACLE,0.9345238095238096,0.9344210297040484,10,1
KNN,kuhar,sensor,ORACLE,0.9285714285714286,0.928483245149912,9,9
KNN,kuhar,sensor,ORACLE,0.9285714285714286,0.928483245149912,8,6
KNN,kuhar,sensor,ORACLE,0.9166666666666666,0.91657848324515,7,13
KNN,kuhar,sensor,ORACLE,0.9166666666666666,0.9165467986719228,6,4
KNN,kuhar,sensor,ORACLE,0.9166666666666666,0.916086691086691,5,16
KNN,kuhar,sensor,ORACLE,0.9166666666666666,0.9161054437121964,4,3
KNN,kuhar,sensor,ORACLE,0.8571428571428571,0.8545923632610939,3,21
KNN,kuhar,sensor,ORACLE,0.7380952380952381,0.7352086835328838,2,0
KNN,kuhar,sensor,ORACLE,0.5178571428571429,0.5083135468951704,1,19
