Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,all,LIME,0.8511904761904762,0.851033850772409,24,13
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8450205109809629,23,11
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8450205109809629,22,12
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8450205109809629,21,14
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8450205109809629,20,17
Random Forest,motionsense,all,LIME,0.8511904761904762,0.851018329491244,19,15
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8450205109809629,18,18
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8450205109809629,17,7
Random Forest,motionsense,all,LIME,0.8511904761904762,0.8507843283107114,16,19
Random Forest,motionsense,all,LIME,0.8511904761904762,0.8507843283107114,15,16
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8450205109809629,14,4
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8450205109809629,13,23
Random Forest,motionsense,all,LIME,0.8392857142857143,0.8399186448621476,12,2
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8451290847517262,11,21
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8459691252144083,10,22
Random Forest,motionsense,all,LIME,0.8392857142857143,0.840004064052935,9,9
Random Forest,motionsense,all,LIME,0.8392857142857143,0.8399186448621476,8,6
Random Forest,motionsense,all,LIME,0.8333333333333334,0.8338928802057176,7,3
Random Forest,motionsense,all,LIME,0.8452380952380952,0.8460851104548426,6,5
Random Forest,motionsense,all,LIME,0.8571428571428571,0.857959847739416,5,20
Random Forest,motionsense,all,LIME,0.8214285714285714,0.821932836555478,4,1
Random Forest,motionsense,all,LIME,0.8154761904761905,0.8153621808053915,3,8
Random Forest,motionsense,all,LIME,0.7916666666666666,0.7902353812969336,2,0
Random Forest,motionsense,all,LIME,0.5892857142857143,0.5892871467356023,1,10
