Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,all,ORACLE,0.8511904761904762,0.851033850772409,24,4
Random Forest,motionsense,all,ORACLE,0.8571428571428571,0.8570937204027005,23,0
Random Forest,motionsense,all,ORACLE,0.8511904761904762,0.851018329491244,22,1
Random Forest,motionsense,all,ORACLE,0.8511904761904762,0.8511855936330939,21,2
Random Forest,motionsense,all,ORACLE,0.8630952380952381,0.8631759431194458,20,3
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8458454444438468,19,5
Random Forest,motionsense,all,ORACLE,0.8511904761904762,0.8515891743876107,18,6
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8458081352147929,17,21
Random Forest,motionsense,all,ORACLE,0.8154761904761905,0.8164557777133842,16,10
Random Forest,motionsense,all,ORACLE,0.8095238095238095,0.8097401869936656,15,22
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8451612311866395,14,14
Random Forest,motionsense,all,ORACLE,0.8273809523809523,0.826983322064458,13,20
Random Forest,motionsense,all,ORACLE,0.8154761904761905,0.814792861180651,12,18
Random Forest,motionsense,all,ORACLE,0.8095238095238095,0.8092404778003154,11,17
Random Forest,motionsense,all,ORACLE,0.8154761904761905,0.8158878234564968,10,16
Random Forest,motionsense,all,ORACLE,0.8095238095238095,0.8093283803063341,9,11
Random Forest,motionsense,all,ORACLE,0.8035714285714286,0.8040149505666747,8,13
Random Forest,motionsense,all,ORACLE,0.7976190476190477,0.79843348128021,7,12
Random Forest,motionsense,all,ORACLE,0.8154761904761905,0.8158103382487699,6,8
Random Forest,motionsense,all,ORACLE,0.8154761904761905,0.8158103382487699,5,7
Random Forest,motionsense,all,ORACLE,0.8452380952380952,0.8445271722195337,4,15
Random Forest,motionsense,all,ORACLE,0.8035714285714286,0.8039066801267043,3,23
Random Forest,motionsense,all,ORACLE,0.5714285714285714,0.5725443397349614,2,9
Random Forest,motionsense,all,ORACLE,0.44047619047619047,0.43860840516589944,1,19
