Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.851033850772409,24,13
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8450205109809629,23,16
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8450205109809629,22,15
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8450205109809629,21,18
Random Forest,motionsense,all,SHAP,0.8571428571428571,0.8565417286242516,20,11
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.8507843283107114,19,17
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8450205109809629,18,19
Random Forest,motionsense,all,SHAP,0.8392857142857143,0.8399186448621476,17,14
Random Forest,motionsense,all,SHAP,0.8392857142857143,0.8399186448621476,16,12
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8450205109809629,15,9
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8450205109809629,14,22
Random Forest,motionsense,all,SHAP,0.8392857142857143,0.8389268262232702,13,3
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.845682462191896,12,7
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.8507843283107114,11,2
Random Forest,motionsense,all,SHAP,0.8511904761904762,0.8507843283107114,10,4
Random Forest,motionsense,all,SHAP,0.8392857142857143,0.8406909609570444,9,6
Random Forest,motionsense,all,SHAP,0.8392857142857143,0.839699142318167,8,23
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8457996599846157,7,21
Random Forest,motionsense,all,SHAP,0.8452380952380952,0.8460851104548426,6,5
Random Forest,motionsense,all,SHAP,0.8571428571428571,0.857959847739416,5,20
Random Forest,motionsense,all,SHAP,0.8214285714285714,0.821932836555478,4,10
Random Forest,motionsense,all,SHAP,0.8095238095238095,0.8114248377668499,3,8
Random Forest,motionsense,all,SHAP,0.7797619047619048,0.7796299639894476,2,0
Random Forest,motionsense,all,SHAP,0.5238095238095238,0.5247649873346467,1,1
