Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,motionsense,all,SHAP,0.7738095238095238,0.774340355893679,24,21
SVM,motionsense,all,SHAP,0.7738095238095238,0.774340355893679,23,9
SVM,motionsense,all,SHAP,0.7678571428571429,0.7679297684947403,22,18
SVM,motionsense,all,SHAP,0.7678571428571429,0.7679297684947403,21,11
SVM,motionsense,all,SHAP,0.7678571428571429,0.7679297684947403,20,12
SVM,motionsense,all,SHAP,0.7678571428571429,0.7679297684947403,19,22
SVM,motionsense,all,SHAP,0.7738095238095238,0.7736536742186458,18,20
SVM,motionsense,all,SHAP,0.7738095238095238,0.7736536742186458,17,13
SVM,motionsense,all,SHAP,0.7738095238095238,0.7736536742186458,16,16
SVM,motionsense,all,SHAP,0.7678571428571429,0.7670633625968878,15,15
SVM,motionsense,all,SHAP,0.7678571428571429,0.7670633625968878,14,5
SVM,motionsense,all,SHAP,0.7678571428571429,0.7670633625968878,13,17
SVM,motionsense,all,SHAP,0.7678571428571429,0.7667890313890909,12,14
SVM,motionsense,all,SHAP,0.7619047619047619,0.7601219176172477,11,19
SVM,motionsense,all,SHAP,0.7619047619047619,0.7601219176172477,10,23
SVM,motionsense,all,SHAP,0.7619047619047619,0.7601219176172477,9,3
SVM,motionsense,all,SHAP,0.7738095238095238,0.7708354653851496,8,7
SVM,motionsense,all,SHAP,0.7738095238095238,0.7712772638391185,7,6
SVM,motionsense,all,SHAP,0.7797619047619048,0.777206548241031,6,10
SVM,motionsense,all,SHAP,0.7797619047619048,0.777206548241031,5,4
SVM,motionsense,all,SHAP,0.7738095238095238,0.7693346960965158,4,8
SVM,motionsense,all,SHAP,0.7678571428571429,0.7646714679779101,3,2
SVM,motionsense,all,SHAP,0.7738095238095238,0.7722794796524911,2,1
SVM,motionsense,all,SHAP,0.7083333333333334,0.714192961522238,1,0
