Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,motionsense,axis,Tree,0.8154761904761905,0.8151450597306616,24,3
Decision Tree,motionsense,axis,Tree,0.8214285714285714,0.8204882321227133,23,19
Decision Tree,motionsense,axis,Tree,0.7976190476190477,0.7944294513223302,22,22
Decision Tree,motionsense,axis,Tree,0.8095238095238095,0.8094098883572568,21,21
Decision Tree,motionsense,axis,Tree,0.8511904761904762,0.848050118077956,20,13
Decision Tree,motionsense,axis,Tree,0.8095238095238095,0.8097152707965999,19,1
Decision Tree,motionsense,axis,Tree,0.8214285714285714,0.8184001294229696,18,5
Decision Tree,motionsense,axis,Tree,0.8273809523809523,0.8235476265628154,17,18
Decision Tree,motionsense,axis,Tree,0.8035714285714286,0.80242476606572,16,10
Decision Tree,motionsense,axis,Tree,0.8154761904761905,0.8165864999198332,15,2
Decision Tree,motionsense,axis,Tree,0.8630952380952381,0.8621620744427761,14,15
Decision Tree,motionsense,axis,Tree,0.8452380952380952,0.8464449248629528,13,12
Decision Tree,motionsense,axis,Tree,0.8452380952380952,0.8443869636633909,12,20
Decision Tree,motionsense,axis,Tree,0.8035714285714286,0.8037261893200384,11,0
Decision Tree,motionsense,axis,Tree,0.8035714285714286,0.8028478312775412,10,7
Decision Tree,motionsense,axis,Tree,0.8214285714285714,0.8218541729213831,9,11
Decision Tree,motionsense,axis,Tree,0.8035714285714286,0.8029509705894292,8,14
Decision Tree,motionsense,axis,Tree,0.8035714285714286,0.8059765325560951,7,23
Decision Tree,motionsense,axis,Tree,0.7916666666666666,0.7914897096099464,6,4
Decision Tree,motionsense,axis,Tree,0.8035714285714286,0.8032316013873323,5,9
Decision Tree,motionsense,axis,Tree,0.7797619047619048,0.7750257933902177,4,16
Decision Tree,motionsense,axis,Tree,0.8035714285714286,0.8006674572766527,3,17
Decision Tree,motionsense,axis,Tree,0.7380952380952381,0.7419027643071359,2,6
Decision Tree,motionsense,axis,Tree,0.5178571428571429,0.5148054801053931,1,8
