Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,axis,LIME,0.8154761904761905,0.8158982901183229,24,3
KNN,motionsense,axis,LIME,0.8214285714285714,0.8221480158150531,23,5
KNN,motionsense,axis,LIME,0.8154761904761905,0.8160290448467787,22,2
KNN,motionsense,axis,LIME,0.8154761904761905,0.8158758841673025,21,15
KNN,motionsense,axis,LIME,0.8214285714285714,0.822089650907385,20,18
KNN,motionsense,axis,LIME,0.8154761904761905,0.8159980604694083,19,23
KNN,motionsense,axis,LIME,0.8214285714285714,0.821528483679551,18,17
KNN,motionsense,axis,LIME,0.8095238095238095,0.8083333333333332,17,19
KNN,motionsense,axis,LIME,0.7976190476190477,0.7968336899371383,16,11
KNN,motionsense,axis,LIME,0.7916666666666666,0.7923862478979568,15,10
KNN,motionsense,axis,LIME,0.7857142857142857,0.7862358155491233,14,22
KNN,motionsense,axis,LIME,0.8035714285714286,0.803356363223536,13,14
KNN,motionsense,axis,LIME,0.8095238095238095,0.8088712187383914,12,9
KNN,motionsense,axis,LIME,0.7559523809523809,0.7549826985230452,11,13
KNN,motionsense,axis,LIME,0.7738095238095238,0.7726564900865768,10,7
KNN,motionsense,axis,LIME,0.7678571428571429,0.7676316483898242,9,21
KNN,motionsense,axis,LIME,0.7916666666666666,0.7884645901614534,8,1
KNN,motionsense,axis,LIME,0.7738095238095238,0.7721669400400947,7,16
KNN,motionsense,axis,LIME,0.7916666666666666,0.7868606367278094,6,8
KNN,motionsense,axis,LIME,0.7619047619047619,0.7602383993188591,5,20
KNN,motionsense,axis,LIME,0.7321428571428571,0.7370279204245049,4,12
KNN,motionsense,axis,LIME,0.7440476190476191,0.7497745996544753,3,0
KNN,motionsense,axis,LIME,0.6845238095238095,0.6896318049821067,2,6
KNN,motionsense,axis,LIME,0.5714285714285714,0.578552719681752,1,4
