Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,axis,ORACLE,0.8154761904761905,0.8158982901183229,24,16
KNN,motionsense,axis,ORACLE,0.8511904761904762,0.8524001435006126,23,7
KNN,motionsense,axis,ORACLE,0.8511904761904762,0.8522768907715143,22,22
KNN,motionsense,axis,ORACLE,0.8571428571428571,0.8581941798649041,21,14
KNN,motionsense,axis,ORACLE,0.8630952380952381,0.8643647228220835,20,13
KNN,motionsense,axis,ORACLE,0.8690476190476191,0.8704687869782209,19,23
KNN,motionsense,axis,ORACLE,0.8571428571428571,0.85850420765675,18,21
KNN,motionsense,axis,ORACLE,0.8571428571428571,0.8592204092204091,17,20
KNN,motionsense,axis,ORACLE,0.8392857142857143,0.8411441665678954,16,3
KNN,motionsense,axis,ORACLE,0.8392857142857143,0.8411441665678954,15,19
KNN,motionsense,axis,ORACLE,0.8392857142857143,0.8411441665678954,14,5
KNN,motionsense,axis,ORACLE,0.8511904761904762,0.8528544901426257,13,6
KNN,motionsense,axis,ORACLE,0.8571428571428571,0.8570207570207571,12,18
KNN,motionsense,axis,ORACLE,0.8630952380952381,0.8641809383334808,11,10
KNN,motionsense,axis,ORACLE,0.8630952380952381,0.8634819858504069,10,0
KNN,motionsense,axis,ORACLE,0.8571428571428571,0.8577857965789001,9,1
KNN,motionsense,axis,ORACLE,0.8452380952380952,0.8446495702890667,8,12
KNN,motionsense,axis,ORACLE,0.8869047619047619,0.8831533414942125,7,11
KNN,motionsense,axis,ORACLE,0.8630952380952381,0.8595949669324456,6,15
KNN,motionsense,axis,ORACLE,0.8333333333333334,0.8309468430814918,5,17
KNN,motionsense,axis,ORACLE,0.8452380952380952,0.840038005652743,4,8
KNN,motionsense,axis,ORACLE,0.6964285714285714,0.6979412475571715,3,2
KNN,motionsense,axis,ORACLE,0.6547619047619048,0.6550419152059601,2,9
KNN,motionsense,axis,ORACLE,0.5714285714285714,0.578552719681752,1,4
