Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,axis,SHAP,0.8154761904761905,0.8158982901183229,24,5
KNN,motionsense,axis,SHAP,0.8214285714285714,0.8218970691636226,23,3
KNN,motionsense,axis,SHAP,0.8154761904761905,0.8160290448467787,22,15
KNN,motionsense,axis,SHAP,0.8214285714285714,0.8228971368154893,21,2
KNN,motionsense,axis,SHAP,0.8214285714285714,0.822089650907385,20,10
KNN,motionsense,axis,SHAP,0.8273809523809523,0.8275559027438727,19,23
KNN,motionsense,axis,SHAP,0.8333333333333334,0.8339782779326717,18,18
KNN,motionsense,axis,SHAP,0.8333333333333334,0.8332853884466788,17,22
KNN,motionsense,axis,SHAP,0.8392857142857143,0.8398166428328039,16,19
KNN,motionsense,axis,SHAP,0.8095238095238095,0.8089718768118829,15,11
KNN,motionsense,axis,SHAP,0.8214285714285714,0.822337011584549,14,21
KNN,motionsense,axis,SHAP,0.8095238095238095,0.8088204673676529,13,9
KNN,motionsense,axis,SHAP,0.7916666666666666,0.7913399122415675,12,1
KNN,motionsense,axis,SHAP,0.7976190476190477,0.7969314302969076,11,7
KNN,motionsense,axis,SHAP,0.8214285714285714,0.8226849725947082,10,14
KNN,motionsense,axis,SHAP,0.8154761904761905,0.8167243680109042,9,20
KNN,motionsense,axis,SHAP,0.8273809523809523,0.8287916981313925,8,17
KNN,motionsense,axis,SHAP,0.8273809523809523,0.8271075470740495,7,13
KNN,motionsense,axis,SHAP,0.8035714285714286,0.8016750916840123,6,12
KNN,motionsense,axis,SHAP,0.7738095238095238,0.7754163235801653,5,0
KNN,motionsense,axis,SHAP,0.75,0.7479710902124695,4,8
KNN,motionsense,axis,SHAP,0.7738095238095238,0.7736229226051701,3,16
KNN,motionsense,axis,SHAP,0.6845238095238095,0.6896318049821067,2,4
KNN,motionsense,axis,SHAP,0.44047619047619047,0.43735461683549975,1,6
