Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,axis,LIME,0.8392857142857143,0.8392791419107208,24,19
Random Forest,motionsense,axis,LIME,0.8273809523809523,0.8272415153230094,23,3
Random Forest,motionsense,axis,LIME,0.8452380952380952,0.84534990823766,22,22
Random Forest,motionsense,axis,LIME,0.8452380952380952,0.8446583313431001,21,2
Random Forest,motionsense,axis,LIME,0.8452380952380952,0.8462601032627796,20,5
Random Forest,motionsense,axis,LIME,0.8511904761904762,0.8511162379886397,19,21
Random Forest,motionsense,axis,LIME,0.8333333333333334,0.8336036608174019,18,15
Random Forest,motionsense,axis,LIME,0.8511904761904762,0.8504883260630387,17,18
Random Forest,motionsense,axis,LIME,0.8630952380952381,0.8631920710868081,16,23
Random Forest,motionsense,axis,LIME,0.8571428571428571,0.8572036150983519,15,10
Random Forest,motionsense,axis,LIME,0.8214285714285714,0.8216431302335718,14,17
Random Forest,motionsense,axis,LIME,0.8452380952380952,0.8454089769879243,13,1
Random Forest,motionsense,axis,LIME,0.8273809523809523,0.8273902566703536,12,16
Random Forest,motionsense,axis,LIME,0.8392857142857143,0.8383715699505173,11,11
Random Forest,motionsense,axis,LIME,0.8392857142857143,0.8384409236747952,10,7
Random Forest,motionsense,axis,LIME,0.8571428571428571,0.8563873357216507,9,13
Random Forest,motionsense,axis,LIME,0.8511904761904762,0.8514375919788035,8,14
Random Forest,motionsense,axis,LIME,0.8630952380952381,0.8628357073456892,7,9
Random Forest,motionsense,axis,LIME,0.7976190476190477,0.7978769399673354,6,20
Random Forest,motionsense,axis,LIME,0.8452380952380952,0.8430534975050853,5,6
Random Forest,motionsense,axis,LIME,0.7738095238095238,0.7782057974264839,4,4
Random Forest,motionsense,axis,LIME,0.6488095238095238,0.6466607215150396,3,0
Random Forest,motionsense,axis,LIME,0.6309523809523809,0.625830417262989,2,12
Random Forest,motionsense,axis,LIME,0.5178571428571429,0.5148054801053931,1,8
