Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,axis,ORACLE,0.8392857142857143,0.8392791419107208,24,14
Random Forest,motionsense,axis,ORACLE,0.875,0.874394746056193,23,16
Random Forest,motionsense,axis,ORACLE,0.8690476190476191,0.8689579837069062,22,0
Random Forest,motionsense,axis,ORACLE,0.8452380952380952,0.8448976699268104,21,22
Random Forest,motionsense,axis,ORACLE,0.8690476190476191,0.8677046259615587,20,7
Random Forest,motionsense,axis,ORACLE,0.8809523809523809,0.8805803062198027,19,8
Random Forest,motionsense,axis,ORACLE,0.875,0.8742286919583275,18,1
Random Forest,motionsense,axis,ORACLE,0.875,0.8739302067485429,17,12
Random Forest,motionsense,axis,ORACLE,0.8869047619047619,0.8858414193756529,16,10
Random Forest,motionsense,axis,ORACLE,0.875,0.8719915162342078,15,23
Random Forest,motionsense,axis,ORACLE,0.875,0.8729436938450853,14,6
Random Forest,motionsense,axis,ORACLE,0.8571428571428571,0.8567267027665705,13,5
Random Forest,motionsense,axis,ORACLE,0.8273809523809523,0.8276638527075201,12,4
Random Forest,motionsense,axis,ORACLE,0.8273809523809523,0.8279833061677007,11,3
Random Forest,motionsense,axis,ORACLE,0.8154761904761905,0.815045395217809,10,15
Random Forest,motionsense,axis,ORACLE,0.8392857142857143,0.83716281120262,9,2
Random Forest,motionsense,axis,ORACLE,0.8630952380952381,0.860747317937914,8,21
Random Forest,motionsense,axis,ORACLE,0.8452380952380952,0.8422681384175638,7,13
Random Forest,motionsense,axis,ORACLE,0.8154761904761905,0.8086242561728345,6,17
Random Forest,motionsense,axis,ORACLE,0.8333333333333334,0.8319437924422974,5,18
Random Forest,motionsense,axis,ORACLE,0.7976190476190477,0.7947676094851278,4,19
Random Forest,motionsense,axis,ORACLE,0.8154761904761905,0.8152808001251787,3,20
Random Forest,motionsense,axis,ORACLE,0.7797619047619048,0.7743931947013896,2,11
Random Forest,motionsense,axis,ORACLE,0.34523809523809523,0.34838012648080946,1,9
