Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,motionsense,sensor,LIME,0.8035714285714286,0.8055955176533597,24,14
Decision Tree,motionsense,sensor,LIME,0.7976190476190477,0.7982926034538936,23,9
Decision Tree,motionsense,sensor,LIME,0.7976190476190477,0.8000454422962585,22,20
Decision Tree,motionsense,sensor,LIME,0.8333333333333334,0.8332897276400101,21,3
Decision Tree,motionsense,sensor,LIME,0.8273809523809523,0.8278394705035416,20,22
Decision Tree,motionsense,sensor,LIME,0.8095238095238095,0.8108838692172023,19,18
Decision Tree,motionsense,sensor,LIME,0.7976190476190477,0.8017036146674558,18,4
Decision Tree,motionsense,sensor,LIME,0.8511904761904762,0.852387913741475,17,8
Decision Tree,motionsense,sensor,LIME,0.8333333333333334,0.8329700861160969,16,16
Decision Tree,motionsense,sensor,LIME,0.8273809523809523,0.8294209219696907,15,13
Decision Tree,motionsense,sensor,LIME,0.8273809523809523,0.8266493874479354,14,23
Decision Tree,motionsense,sensor,LIME,0.7916666666666666,0.7908103010341364,13,15
Decision Tree,motionsense,sensor,LIME,0.8035714285714286,0.803059473451639,12,19
Decision Tree,motionsense,sensor,LIME,0.8154761904761905,0.8130216869236833,11,5
Decision Tree,motionsense,sensor,LIME,0.8095238095238095,0.810475501529924,10,2
Decision Tree,motionsense,sensor,LIME,0.8154761904761905,0.8157587774193944,9,12
Decision Tree,motionsense,sensor,LIME,0.7678571428571429,0.7672509379360601,8,7
Decision Tree,motionsense,sensor,LIME,0.7797619047619048,0.7806202519469655,7,21
Decision Tree,motionsense,sensor,LIME,0.7440476190476191,0.7462160771853098,6,1
Decision Tree,motionsense,sensor,LIME,0.75,0.752965907085238,5,11
Decision Tree,motionsense,sensor,LIME,0.7321428571428571,0.7340772102676865,4,17
Decision Tree,motionsense,sensor,LIME,0.7440476190476191,0.745659569762374,3,10
Decision Tree,motionsense,sensor,LIME,0.7559523809523809,0.7571442028175924,2,6
Decision Tree,motionsense,sensor,LIME,0.5773809523809523,0.5808849382103368,1,0
