Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,sensor,SHAP,0.8273809523809523,0.8300740266210099,24,8
KNN,motionsense,sensor,SHAP,0.8273809523809523,0.8300740266210099,23,10
KNN,motionsense,sensor,SHAP,0.8273809523809523,0.8300740266210099,22,11
KNN,motionsense,sensor,SHAP,0.8273809523809523,0.8300740266210099,21,18
KNN,motionsense,sensor,SHAP,0.8333333333333334,0.8361780907771473,20,22
KNN,motionsense,sensor,SHAP,0.8273809523809523,0.8300740266210099,19,5
KNN,motionsense,sensor,SHAP,0.8273809523809523,0.8300740266210099,18,9
KNN,motionsense,sensor,SHAP,0.8392857142857143,0.8418414918414917,17,20
KNN,motionsense,sensor,SHAP,0.8273809523809523,0.8297474843465409,16,17
KNN,motionsense,sensor,SHAP,0.8333333333333334,0.8359464944165187,15,19
KNN,motionsense,sensor,SHAP,0.8392857142857143,0.8420770876794649,14,16
KNN,motionsense,sensor,SHAP,0.8392857142857143,0.8423086840400935,13,2
KNN,motionsense,sensor,SHAP,0.8392857142857143,0.8423086840400935,12,6
KNN,motionsense,sensor,SHAP,0.8333333333333334,0.8354108854108854,11,15
KNN,motionsense,sensor,SHAP,0.8095238095238095,0.8119405146606251,10,3
KNN,motionsense,sensor,SHAP,0.8214285714285714,0.8235208281277311,9,21
KNN,motionsense,sensor,SHAP,0.8214285714285714,0.8238650565891131,8,7
KNN,motionsense,sensor,SHAP,0.8273809523809523,0.8296921877778644,7,14
KNN,motionsense,sensor,SHAP,0.8392857142857143,0.8413275886468977,6,23
KNN,motionsense,sensor,SHAP,0.8333333333333334,0.8350778629501674,5,4
KNN,motionsense,sensor,SHAP,0.8452380952380952,0.8442220296210109,4,13
KNN,motionsense,sensor,SHAP,0.8273809523809523,0.8265262515262516,3,1
KNN,motionsense,sensor,SHAP,0.6904761904761905,0.6947115326058944,2,12
KNN,motionsense,sensor,SHAP,0.6071428571428571,0.6130951015883936,1,0
