Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,sensor,ORACLE,0.8571428571428571,0.8581547095313161,24,0
Random Forest,motionsense,sensor,ORACLE,0.875,0.8750178301902439,23,21
Random Forest,motionsense,sensor,ORACLE,0.875,0.8751688674485711,22,16
Random Forest,motionsense,sensor,ORACLE,0.8690476190476191,0.8689885315149146,21,19
Random Forest,motionsense,sensor,ORACLE,0.8630952380952381,0.8632565756501314,20,17
Random Forest,motionsense,sensor,ORACLE,0.8571428571428571,0.8576639618814169,19,15
Random Forest,motionsense,sensor,ORACLE,0.875,0.874742056581137,18,14
Random Forest,motionsense,sensor,ORACLE,0.8630952380952381,0.8617357031818234,17,13
Random Forest,motionsense,sensor,ORACLE,0.8630952380952381,0.8627989674029822,16,12
Random Forest,motionsense,sensor,ORACLE,0.8571428571428571,0.8565616975920752,15,10
Random Forest,motionsense,sensor,ORACLE,0.8630952380952381,0.8628026999244417,14,11
Random Forest,motionsense,sensor,ORACLE,0.8630952380952381,0.8640967254535689,13,4
Random Forest,motionsense,sensor,ORACLE,0.8571428571428571,0.8566359149518413,12,3
Random Forest,motionsense,sensor,ORACLE,0.8630952380952381,0.8641814975148309,11,22
Random Forest,motionsense,sensor,ORACLE,0.875,0.8748935717326521,10,8
Random Forest,motionsense,sensor,ORACLE,0.8690476190476191,0.8686824384192805,9,18
Random Forest,motionsense,sensor,ORACLE,0.8630952380952381,0.8629736057896977,8,7
Random Forest,motionsense,sensor,ORACLE,0.8571428571428571,0.8574731084705131,7,6
Random Forest,motionsense,sensor,ORACLE,0.8273809523809523,0.8270451498816348,6,5
Random Forest,motionsense,sensor,ORACLE,0.8333333333333334,0.8334017515051998,5,2
Random Forest,motionsense,sensor,ORACLE,0.8214285714285714,0.8216906320970473,4,20
Random Forest,motionsense,sensor,ORACLE,0.7916666666666666,0.7901430798566976,3,23
Random Forest,motionsense,sensor,ORACLE,0.7797619047619048,0.7796026050119981,2,1
Random Forest,motionsense,sensor,ORACLE,0.48214285714285715,0.48623029453521216,1,9
