Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,motionsense,sensor,Random Forest,0.8571428571428571,0.8581547095313161,24,22
Random Forest,motionsense,sensor,Random Forest,0.8630952380952381,0.8637139798811205,23,19
Random Forest,motionsense,sensor,Random Forest,0.8690476190476191,0.8691738295075337,22,8
Random Forest,motionsense,sensor,Random Forest,0.8690476190476191,0.8690101007163539,21,15
Random Forest,motionsense,sensor,Random Forest,0.875,0.8753443724647129,20,14
Random Forest,motionsense,sensor,Random Forest,0.8690476190476191,0.8690101007163539,19,20
Random Forest,motionsense,sensor,Random Forest,0.8571428571428571,0.8565503914175641,18,4
Random Forest,motionsense,sensor,Random Forest,0.8690476190476191,0.8694070079989649,17,16
Random Forest,motionsense,sensor,Random Forest,0.8511904761904762,0.8514315336671273,16,17
Random Forest,motionsense,sensor,Random Forest,0.8690476190476191,0.8682387031058759,15,11
Random Forest,motionsense,sensor,Random Forest,0.8571428571428571,0.8570901347733993,14,2
Random Forest,motionsense,sensor,Random Forest,0.8690476190476191,0.8686463251953457,13,18
Random Forest,motionsense,sensor,Random Forest,0.875,0.874796757544179,12,21
Random Forest,motionsense,sensor,Random Forest,0.8571428571428571,0.8572473097736929,11,10
Random Forest,motionsense,sensor,Random Forest,0.8571428571428571,0.8567781478085253,10,23
Random Forest,motionsense,sensor,Random Forest,0.8630952380952381,0.8624869804381082,9,9
Random Forest,motionsense,sensor,Random Forest,0.8511904761904762,0.8505784211611279,8,3
Random Forest,motionsense,sensor,Random Forest,0.8690476190476191,0.8687473734842155,7,5
Random Forest,motionsense,sensor,Random Forest,0.8630952380952381,0.8624987974987975,6,7
Random Forest,motionsense,sensor,Random Forest,0.8452380952380952,0.8458121408974671,5,12
Random Forest,motionsense,sensor,Random Forest,0.8452380952380952,0.844287409707614,4,13
Random Forest,motionsense,sensor,Random Forest,0.8214285714285714,0.8205440110501289,3,0
Random Forest,motionsense,sensor,Random Forest,0.7142857142857143,0.7131849101883811,2,1
Random Forest,motionsense,sensor,Random Forest,0.42857142857142855,0.4380574136066791,1,6
