Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,motionsense,sensor,SHAP,0.8452380952380952,0.844971349738084,24,22
SVM,motionsense,sensor,SHAP,0.8452380952380952,0.844971349738084,23,17
SVM,motionsense,sensor,SHAP,0.8392857142857143,0.8389638918621901,22,20
SVM,motionsense,sensor,SHAP,0.8511904761904762,0.8509295288406231,21,5
SVM,motionsense,sensor,SHAP,0.8511904761904762,0.8509295288406231,20,8
SVM,motionsense,sensor,SHAP,0.8511904761904762,0.8509295288406231,19,9
SVM,motionsense,sensor,SHAP,0.8511904761904762,0.8509295288406231,18,10
SVM,motionsense,sensor,SHAP,0.8511904761904762,0.8509295288406231,17,11
SVM,motionsense,sensor,SHAP,0.8452380952380952,0.844971349738084,16,18
SVM,motionsense,sensor,SHAP,0.8452380952380952,0.8455460623817621,15,2
SVM,motionsense,sensor,SHAP,0.8452380952380952,0.8455460623817621,14,6
SVM,motionsense,sensor,SHAP,0.8392857142857143,0.8399905068262066,13,16
SVM,motionsense,sensor,SHAP,0.8452380952380952,0.8459790064626191,12,15
SVM,motionsense,sensor,SHAP,0.8511904761904762,0.8512683109629112,11,19
SVM,motionsense,sensor,SHAP,0.8511904761904762,0.8512683109629112,10,14
SVM,motionsense,sensor,SHAP,0.8511904761904762,0.8509598493744965,9,3
SVM,motionsense,sensor,SHAP,0.8333333333333334,0.8337100341718067,8,7
SVM,motionsense,sensor,SHAP,0.8214285714285714,0.8216105363562991,7,21
SVM,motionsense,sensor,SHAP,0.8333333333333334,0.8339201865857212,6,4
SVM,motionsense,sensor,SHAP,0.8035714285714286,0.8028895805165734,5,23
SVM,motionsense,sensor,SHAP,0.8154761904761905,0.816198845706059,4,13
SVM,motionsense,sensor,SHAP,0.7678571428571429,0.7691683099024239,3,1
SVM,motionsense,sensor,SHAP,0.6488095238095238,0.6474972742590941,2,12
SVM,motionsense,sensor,SHAP,0.6666666666666666,0.6757435614443601,1,0
