Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,all,Random Forest,0.6964285714285714,0.7014488945347933,24,15
Random Forest,realworld_thigh,all,Random Forest,0.6726190476190477,0.6785138537073522,23,13
Random Forest,realworld_thigh,all,Random Forest,0.6964285714285714,0.7019983579964667,22,18
Random Forest,realworld_thigh,all,Random Forest,0.6904761904761905,0.6966480320761547,21,22
Random Forest,realworld_thigh,all,Random Forest,0.6845238095238095,0.6890266056340307,20,9
Random Forest,realworld_thigh,all,Random Forest,0.6964285714285714,0.7024236636849303,19,11
Random Forest,realworld_thigh,all,Random Forest,0.7023809523809523,0.7073849877881234,18,16
Random Forest,realworld_thigh,all,Random Forest,0.7023809523809523,0.707512294328013,17,19
Random Forest,realworld_thigh,all,Random Forest,0.7083333333333334,0.7133728606429757,16,12
Random Forest,realworld_thigh,all,Random Forest,0.6964285714285714,0.7024533708817872,15,17
Random Forest,realworld_thigh,all,Random Forest,0.6964285714285714,0.7014464465954986,14,14
Random Forest,realworld_thigh,all,Random Forest,0.7083333333333334,0.7136267679185447,13,2
Random Forest,realworld_thigh,all,Random Forest,0.6726190476190477,0.6780593321888299,12,4
Random Forest,realworld_thigh,all,Random Forest,0.6666666666666666,0.6706828387873708,11,20
Random Forest,realworld_thigh,all,Random Forest,0.6964285714285714,0.7008413935621066,10,6
Random Forest,realworld_thigh,all,Random Forest,0.6845238095238095,0.6881711847182741,9,3
Random Forest,realworld_thigh,all,Random Forest,0.6845238095238095,0.6888653753006548,8,7
Random Forest,realworld_thigh,all,Random Forest,0.6607142857142857,0.6642754269096268,7,10
Random Forest,realworld_thigh,all,Random Forest,0.6428571428571429,0.6459789007505635,6,8
Random Forest,realworld_thigh,all,Random Forest,0.6428571428571429,0.6454362072697931,5,23
Random Forest,realworld_thigh,all,Random Forest,0.6785714285714286,0.6829441332223699,4,1
Random Forest,realworld_thigh,all,Random Forest,0.6607142857142857,0.6672191779308433,3,5
Random Forest,realworld_thigh,all,Random Forest,0.6071428571428571,0.616151936453254,2,0
Random Forest,realworld_thigh,all,Random Forest,0.47023809523809523,0.46304381411444817,1,21
