Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,all,SHAP,0.6964285714285714,0.7014488945347933,24,13
Random Forest,realworld_thigh,all,SHAP,0.6904761904761905,0.6953160962148949,23,15
Random Forest,realworld_thigh,all,SHAP,0.6964285714285714,0.7019983579964667,22,22
Random Forest,realworld_thigh,all,SHAP,0.7023809523809523,0.707613048640806,21,9
Random Forest,realworld_thigh,all,SHAP,0.6964285714285714,0.7003167277592565,20,11
Random Forest,realworld_thigh,all,SHAP,0.7083333333333334,0.7130712983519293,19,17
Random Forest,realworld_thigh,all,SHAP,0.6904761904761905,0.695565976868911,18,16
Random Forest,realworld_thigh,all,SHAP,0.7083333333333334,0.7137384134397946,17,18
Random Forest,realworld_thigh,all,SHAP,0.7083333333333334,0.7135788367905023,16,14
Random Forest,realworld_thigh,all,SHAP,0.6964285714285714,0.7018311666093021,15,19
Random Forest,realworld_thigh,all,SHAP,0.6904761904761905,0.6953161259630559,14,12
Random Forest,realworld_thigh,all,SHAP,0.7083333333333334,0.7136267679185447,13,2
Random Forest,realworld_thigh,all,SHAP,0.6726190476190477,0.6780593321888299,12,4
Random Forest,realworld_thigh,all,SHAP,0.6666666666666666,0.6706828387873708,11,6
Random Forest,realworld_thigh,all,SHAP,0.6904761904761905,0.6948510797195008,10,3
Random Forest,realworld_thigh,all,SHAP,0.6785714285714286,0.6830108045864586,9,20
Random Forest,realworld_thigh,all,SHAP,0.6845238095238095,0.6888653753006548,8,1
Random Forest,realworld_thigh,all,SHAP,0.6726190476190477,0.6769833868619731,7,7
Random Forest,realworld_thigh,all,SHAP,0.6726190476190477,0.6765144381669805,6,10
Random Forest,realworld_thigh,all,SHAP,0.6666666666666666,0.6707611579550313,5,23
Random Forest,realworld_thigh,all,SHAP,0.6726190476190477,0.6799706282685006,4,8
Random Forest,realworld_thigh,all,SHAP,0.6607142857142857,0.6672191779308433,3,5
Random Forest,realworld_thigh,all,SHAP,0.6071428571428571,0.616151936453254,2,21
Random Forest,realworld_thigh,all,SHAP,0.43452380952380953,0.4292319344046676,1,0
