Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6237204450955782,24,21
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6237204450955782,23,9
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6237204450955782,22,12
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6237204450955782,21,18
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6237204450955782,20,22
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6237204450955782,19,11
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6237204450955782,18,14
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6237204450955782,17,13
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,16,17
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,15,20
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,14,16
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,13,7
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,12,19
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,11,15
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,10,23
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,9,6
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,8,10
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,7,5
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,6,3
SVM,realworld_thigh,all,LIME,0.625,0.6311278525029856,5,8
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6242651273304013,4,4
SVM,realworld_thigh,all,LIME,0.6190476190476191,0.6223940697966002,3,2
SVM,realworld_thigh,all,LIME,0.5892857142857143,0.5776886990638321,2,1
SVM,realworld_thigh,all,LIME,0.49404761904761907,0.45744733998013615,1,0
