Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6237204450955782,24,3
SVM,realworld_thigh,all,ORACLE,0.625,0.6296379291460545,23,11
SVM,realworld_thigh,all,ORACLE,0.625,0.6296379291460545,22,21
SVM,realworld_thigh,all,ORACLE,0.625,0.6296379291460545,21,20
SVM,realworld_thigh,all,ORACLE,0.625,0.6296379291460545,20,19
SVM,realworld_thigh,all,ORACLE,0.625,0.6296379291460545,19,18
SVM,realworld_thigh,all,ORACLE,0.625,0.6296379291460545,18,17
SVM,realworld_thigh,all,ORACLE,0.625,0.6296379291460545,17,16
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6237204450955782,16,15
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6242651273304013,15,14
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6242651273304013,14,13
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6242651273304013,13,12
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6242651273304013,12,23
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6242651273304013,11,10
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6242651273304013,10,9
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6242651273304013,9,7
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6242651273304013,8,6
SVM,realworld_thigh,all,ORACLE,0.625,0.6311278525029856,7,5
SVM,realworld_thigh,all,ORACLE,0.625,0.6311278525029856,6,22
SVM,realworld_thigh,all,ORACLE,0.625,0.6311278525029856,5,8
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6242651273304013,4,4
SVM,realworld_thigh,all,ORACLE,0.6190476190476191,0.6223940697966002,3,0
SVM,realworld_thigh,all,ORACLE,0.6071428571428571,0.6056385209679025,2,2
SVM,realworld_thigh,all,ORACLE,0.49404761904761907,0.46980770244496145,1,1
