Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,axis,Tree,0.6726190476190477,0.6760290423567565,24,21
Decision Tree,realworld_thigh,axis,Tree,0.6607142857142857,0.6621920840773693,23,22
Decision Tree,realworld_thigh,axis,Tree,0.6071428571428571,0.6095497443252799,22,3
Decision Tree,realworld_thigh,axis,Tree,0.6547619047619048,0.6578185756982698,21,18
Decision Tree,realworld_thigh,axis,Tree,0.6785714285714286,0.6796916812239479,20,0
Decision Tree,realworld_thigh,axis,Tree,0.6607142857142857,0.6632938790466208,19,12
Decision Tree,realworld_thigh,axis,Tree,0.6607142857142857,0.6638504550560834,18,10
Decision Tree,realworld_thigh,axis,Tree,0.6369047619047619,0.6363628844274006,17,13
Decision Tree,realworld_thigh,axis,Tree,0.6547619047619048,0.6563087920988865,16,2
Decision Tree,realworld_thigh,axis,Tree,0.6011904761904762,0.6057993344809757,15,19
Decision Tree,realworld_thigh,axis,Tree,0.6130952380952381,0.6172486789398901,14,16
Decision Tree,realworld_thigh,axis,Tree,0.5952380952380952,0.5991329909698199,13,20
Decision Tree,realworld_thigh,axis,Tree,0.6547619047619048,0.6583542974468565,12,15
Decision Tree,realworld_thigh,axis,Tree,0.6130952380952381,0.6138616707666924,11,14
Decision Tree,realworld_thigh,axis,Tree,0.6130952380952381,0.6166266090898751,10,17
Decision Tree,realworld_thigh,axis,Tree,0.625,0.6265666639205858,9,4
Decision Tree,realworld_thigh,axis,Tree,0.6011904761904762,0.6049006225855268,8,23
Decision Tree,realworld_thigh,axis,Tree,0.6607142857142857,0.6592016208895449,7,8
Decision Tree,realworld_thigh,axis,Tree,0.6309523809523809,0.6315283873333408,6,7
Decision Tree,realworld_thigh,axis,Tree,0.6428571428571429,0.6434781249022735,5,5
Decision Tree,realworld_thigh,axis,Tree,0.6309523809523809,0.6318130721353813,4,6
Decision Tree,realworld_thigh,axis,Tree,0.5476190476190477,0.547074796427181,3,11
Decision Tree,realworld_thigh,axis,Tree,0.5297619047619048,0.5250881122599572,2,9
Decision Tree,realworld_thigh,axis,Tree,0.4107142857142857,0.41330091351761133,1,1
