Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_thigh,axis,LIME,0.6488095238095238,0.6516384356662531,24,18
KNN,realworld_thigh,axis,LIME,0.6488095238095238,0.6513807354394946,23,2
KNN,realworld_thigh,axis,LIME,0.6547619047619048,0.6575497539017706,22,5
KNN,realworld_thigh,axis,LIME,0.6607142857142857,0.6615181132172031,21,3
KNN,realworld_thigh,axis,LIME,0.6488095238095238,0.6491744301756012,20,15
KNN,realworld_thigh,axis,LIME,0.6666666666666666,0.6704977705778888,19,17
KNN,realworld_thigh,axis,LIME,0.6428571428571429,0.6457095011583016,18,19
KNN,realworld_thigh,axis,LIME,0.6488095238095238,0.6505633244889923,17,23
KNN,realworld_thigh,axis,LIME,0.6369047619047619,0.6399849428350215,16,14
KNN,realworld_thigh,axis,LIME,0.6488095238095238,0.6547534646612987,15,10
KNN,realworld_thigh,axis,LIME,0.6547619047619048,0.6609537096092474,14,13
KNN,realworld_thigh,axis,LIME,0.6785714285714286,0.6842310766015972,13,16
KNN,realworld_thigh,axis,LIME,0.6964285714285714,0.7032964659354203,12,11
KNN,realworld_thigh,axis,LIME,0.7023809523809523,0.7076145643980324,11,9
KNN,realworld_thigh,axis,LIME,0.6845238095238095,0.6897145754095737,10,22
KNN,realworld_thigh,axis,LIME,0.6726190476190477,0.6786083787431497,9,21
KNN,realworld_thigh,axis,LIME,0.6666666666666666,0.6727586724029656,8,12
KNN,realworld_thigh,axis,LIME,0.6785714285714286,0.6751971213168991,7,7
KNN,realworld_thigh,axis,LIME,0.6666666666666666,0.6657522501784796,6,20
KNN,realworld_thigh,axis,LIME,0.6369047619047619,0.6376013620087901,5,1
KNN,realworld_thigh,axis,LIME,0.6190476190476191,0.6193580542264753,4,8
KNN,realworld_thigh,axis,LIME,0.6130952380952381,0.6194733074950861,3,0
KNN,realworld_thigh,axis,LIME,0.5416666666666666,0.5497400306924116,2,6
KNN,realworld_thigh,axis,LIME,0.42857142857142855,0.4376087860130413,1,4
