Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,axis,ORACLE,0.7202380952380952,0.7263873031421285,24,19
Random Forest,realworld_thigh,axis,ORACLE,0.7559523809523809,0.7605239132690113,23,23
Random Forest,realworld_thigh,axis,ORACLE,0.7380952380952381,0.7439606713064718,22,20
Random Forest,realworld_thigh,axis,ORACLE,0.7321428571428571,0.7377397112691231,21,15
Random Forest,realworld_thigh,axis,ORACLE,0.7380952380952381,0.744253267134623,20,21
Random Forest,realworld_thigh,axis,ORACLE,0.7321428571428571,0.7368460192101337,19,18
Random Forest,realworld_thigh,axis,ORACLE,0.7380952380952381,0.7427100514819814,18,12
Random Forest,realworld_thigh,axis,ORACLE,0.7321428571428571,0.7378443119968544,17,16
Random Forest,realworld_thigh,axis,ORACLE,0.7559523809523809,0.7594691857849752,16,13
Random Forest,realworld_thigh,axis,ORACLE,0.7440476190476191,0.7485548172321682,15,22
Random Forest,realworld_thigh,axis,ORACLE,0.7380952380952381,0.7428999907813467,14,11
Random Forest,realworld_thigh,axis,ORACLE,0.7440476190476191,0.7491875393751527,13,8
Random Forest,realworld_thigh,axis,ORACLE,0.7380952380952381,0.7439990723624766,12,1
Random Forest,realworld_thigh,axis,ORACLE,0.7261904761904762,0.7309282226890353,11,10
Random Forest,realworld_thigh,axis,ORACLE,0.7321428571428571,0.7372565282413324,10,7
Random Forest,realworld_thigh,axis,ORACLE,0.7321428571428571,0.7356499285213144,9,0
Random Forest,realworld_thigh,axis,ORACLE,0.6904761904761905,0.6963218917239392,8,9
Random Forest,realworld_thigh,axis,ORACLE,0.6845238095238095,0.6928726717198425,7,14
Random Forest,realworld_thigh,axis,ORACLE,0.6547619047619048,0.6633776709889122,6,4
Random Forest,realworld_thigh,axis,ORACLE,0.6607142857142857,0.667224873904916,5,2
Random Forest,realworld_thigh,axis,ORACLE,0.6488095238095238,0.6554132111130472,4,5
Random Forest,realworld_thigh,axis,ORACLE,0.6011904761904762,0.6087219746785341,3,17
Random Forest,realworld_thigh,axis,ORACLE,0.5892857142857143,0.5887398328430412,2,6
Random Forest,realworld_thigh,axis,ORACLE,0.30357142857142855,0.2985508681587113,1,3
