Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_thigh,axis,SHAP,0.7261904761904762,0.7299626230077356,24,10
SVM,realworld_thigh,axis,SHAP,0.7321428571428571,0.7356274805382649,23,18
SVM,realworld_thigh,axis,SHAP,0.7321428571428571,0.7356274805382649,22,19
SVM,realworld_thigh,axis,SHAP,0.7083333333333334,0.7114214431677067,21,15
SVM,realworld_thigh,axis,SHAP,0.7202380952380952,0.7226669403393541,20,3
SVM,realworld_thigh,axis,SHAP,0.7440476190476191,0.7472315662479597,19,5
SVM,realworld_thigh,axis,SHAP,0.7380952380952381,0.7404887881078358,18,14
SVM,realworld_thigh,axis,SHAP,0.7440476190476191,0.7460430506513457,17,23
SVM,realworld_thigh,axis,SHAP,0.7559523809523809,0.759257262653489,16,17
SVM,realworld_thigh,axis,SHAP,0.7321428571428571,0.733970658970659,15,2
SVM,realworld_thigh,axis,SHAP,0.7321428571428571,0.733970658970659,14,22
SVM,realworld_thigh,axis,SHAP,0.7321428571428571,0.735103021978022,13,11
SVM,realworld_thigh,axis,SHAP,0.7261904761904762,0.7267357804828531,12,13
SVM,realworld_thigh,axis,SHAP,0.7321428571428571,0.7334766883844752,11,20
SVM,realworld_thigh,axis,SHAP,0.7321428571428571,0.733160552464037,10,7
SVM,realworld_thigh,axis,SHAP,0.7202380952380952,0.7204123673221495,9,21
SVM,realworld_thigh,axis,SHAP,0.6845238095238095,0.68392414027758,8,9
SVM,realworld_thigh,axis,SHAP,0.6369047619047619,0.6206891927770064,7,1
SVM,realworld_thigh,axis,SHAP,0.6369047619047619,0.6234158843436274,6,16
SVM,realworld_thigh,axis,SHAP,0.6071428571428571,0.5989391493628782,5,12
SVM,realworld_thigh,axis,SHAP,0.6071428571428571,0.5994757869757869,4,8
SVM,realworld_thigh,axis,SHAP,0.6011904761904762,0.6041781053045133,3,4
SVM,realworld_thigh,axis,SHAP,0.5892857142857143,0.592858915324832,2,0
SVM,realworld_thigh,axis,SHAP,0.5059523809523809,0.4670700262996233,1,6
