Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_thigh,sensor,LIME,0.6726190476190477,0.6784476634476634,24,16
Decision Tree,realworld_thigh,sensor,LIME,0.6428571428571429,0.646599505964239,23,23
Decision Tree,realworld_thigh,sensor,LIME,0.6190476190476191,0.6235039470333588,22,14
Decision Tree,realworld_thigh,sensor,LIME,0.6369047619047619,0.6381252903359353,21,21
Decision Tree,realworld_thigh,sensor,LIME,0.5952380952380952,0.6007388514424049,20,9
Decision Tree,realworld_thigh,sensor,LIME,0.6190476190476191,0.6212865547923371,19,18
Decision Tree,realworld_thigh,sensor,LIME,0.6130952380952381,0.6162362998054822,18,15
Decision Tree,realworld_thigh,sensor,LIME,0.6309523809523809,0.6327332885928528,17,11
Decision Tree,realworld_thigh,sensor,LIME,0.6190476190476191,0.6245711780310571,16,10
Decision Tree,realworld_thigh,sensor,LIME,0.6071428571428571,0.6127961404730914,15,22
Decision Tree,realworld_thigh,sensor,LIME,0.6309523809523809,0.6343083089503482,14,3
Decision Tree,realworld_thigh,sensor,LIME,0.6190476190476191,0.6217794149939291,13,8
Decision Tree,realworld_thigh,sensor,LIME,0.6071428571428571,0.612033415423246,12,2
Decision Tree,realworld_thigh,sensor,LIME,0.6309523809523809,0.6356611679141095,11,1
Decision Tree,realworld_thigh,sensor,LIME,0.6547619047619048,0.6577391562685679,10,4
Decision Tree,realworld_thigh,sensor,LIME,0.625,0.6241724550435576,9,19
Decision Tree,realworld_thigh,sensor,LIME,0.6071428571428571,0.6081799228913338,8,7
Decision Tree,realworld_thigh,sensor,LIME,0.6130952380952381,0.6174061922748898,7,5
Decision Tree,realworld_thigh,sensor,LIME,0.5833333333333334,0.5842661306947021,6,6
Decision Tree,realworld_thigh,sensor,LIME,0.4821428571428571,0.471763436925015,5,17
Decision Tree,realworld_thigh,sensor,LIME,0.5059523809523809,0.498689243922539,4,20
Decision Tree,realworld_thigh,sensor,LIME,0.5059523809523809,0.4962851718936911,3,0
Decision Tree,realworld_thigh,sensor,LIME,0.3988095238095238,0.3860281390438198,2,12
Decision Tree,realworld_thigh,sensor,LIME,0.4523809523809524,0.45570212598352616,1,13
