Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_thigh,sensor,ORACLE,0.6845238095238095,0.6902624683386659,24,4
KNN,realworld_thigh,sensor,ORACLE,0.7083333333333334,0.7146002776575399,23,12
KNN,realworld_thigh,sensor,ORACLE,0.7202380952380952,0.7257472570695404,22,19
KNN,realworld_thigh,sensor,ORACLE,0.7202380952380952,0.7251845234631532,21,0
KNN,realworld_thigh,sensor,ORACLE,0.7261904761904762,0.7304768443355026,20,13
KNN,realworld_thigh,sensor,ORACLE,0.7261904761904762,0.7299581799933089,19,9
KNN,realworld_thigh,sensor,ORACLE,0.7321428571428571,0.7356667822748011,18,8
KNN,realworld_thigh,sensor,ORACLE,0.7321428571428571,0.7356667822748011,17,3
KNN,realworld_thigh,sensor,ORACLE,0.7261904761904762,0.7299911490019736,16,21
KNN,realworld_thigh,sensor,ORACLE,0.7023809523809523,0.7059278799696646,15,20
KNN,realworld_thigh,sensor,ORACLE,0.6785714285714286,0.682923889224476,14,17
KNN,realworld_thigh,sensor,ORACLE,0.6785714285714286,0.6834744297760347,13,5
KNN,realworld_thigh,sensor,ORACLE,0.6845238095238095,0.6892743549710764,12,16
KNN,realworld_thigh,sensor,ORACLE,0.6964285714285714,0.700588698522262,11,10
KNN,realworld_thigh,sensor,ORACLE,0.6904761904761905,0.6964800629746567,10,22
KNN,realworld_thigh,sensor,ORACLE,0.6904761904761905,0.6964800629746567,9,2
KNN,realworld_thigh,sensor,ORACLE,0.6964285714285714,0.7027671203011647,8,18
KNN,realworld_thigh,sensor,ORACLE,0.6845238095238095,0.6912155706899137,7,15
KNN,realworld_thigh,sensor,ORACLE,0.6845238095238095,0.6894686400201105,6,11
KNN,realworld_thigh,sensor,ORACLE,0.6904761904761905,0.6950044282815139,5,7
KNN,realworld_thigh,sensor,ORACLE,0.6666666666666666,0.6720635323261978,4,1
KNN,realworld_thigh,sensor,ORACLE,0.625,0.6298788889050303,3,14
KNN,realworld_thigh,sensor,ORACLE,0.6488095238095238,0.6512305266391961,2,23
KNN,realworld_thigh,sensor,ORACLE,0.44047619047619047,0.43918333485207467,1,6
