Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6902624683386659,24,20
KNN,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6962520034328289,23,17
KNN,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6962520034328289,22,10
KNN,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6962520034328289,21,8
KNN,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6962520034328289,20,9
KNN,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6962520034328289,19,11
KNN,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6962520034328289,18,5
KNN,realworld_thigh,sensor,SHAP,0.6785714285714286,0.6842600432285093,17,22
KNN,realworld_thigh,sensor,SHAP,0.6785714285714286,0.6842600432285093,16,2
KNN,realworld_thigh,sensor,SHAP,0.6785714285714286,0.6842600432285093,15,18
KNN,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6900217425797551,14,16
KNN,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6898430512955561,13,6
KNN,realworld_thigh,sensor,SHAP,0.6309523809523809,0.632344842829141,12,19
KNN,realworld_thigh,sensor,SHAP,0.6428571428571429,0.6453801078149103,11,14
KNN,realworld_thigh,sensor,SHAP,0.6369047619047619,0.639730390300786,10,15
KNN,realworld_thigh,sensor,SHAP,0.6547619047619048,0.6569920726418487,9,3
KNN,realworld_thigh,sensor,SHAP,0.6547619047619048,0.6569920726418487,8,21
KNN,realworld_thigh,sensor,SHAP,0.6547619047619048,0.6605055844556307,7,23
KNN,realworld_thigh,sensor,SHAP,0.6607142857142857,0.6655122302723667,6,7
KNN,realworld_thigh,sensor,SHAP,0.6607142857142857,0.6636073115196219,5,4
KNN,realworld_thigh,sensor,SHAP,0.6369047619047619,0.6368947215217079,4,13
KNN,realworld_thigh,sensor,SHAP,0.6428571428571429,0.648129106757006,3,1
KNN,realworld_thigh,sensor,SHAP,0.5357142857142857,0.5360842780407997,2,12
KNN,realworld_thigh,sensor,SHAP,0.5357142857142857,0.538527793718982,1,0
