Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6892096688944221,24,14
Random Forest,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6899674631141245,23,15
Random Forest,realworld_thigh,sensor,SHAP,0.6785714285714286,0.6836732458105251,22,18
Random Forest,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6901474756835896,21,23
Random Forest,realworld_thigh,sensor,SHAP,0.6726190476190477,0.6789243216450528,20,20
Random Forest,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6893749849666642,19,10
Random Forest,realworld_thigh,sensor,SHAP,0.6845238095238095,0.6914368511495116,18,11
Random Forest,realworld_thigh,sensor,SHAP,0.7023809523809523,0.7066671134208793,17,21
Random Forest,realworld_thigh,sensor,SHAP,0.6785714285714286,0.6834492796651152,16,8
Random Forest,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6968423094072301,15,3
Random Forest,realworld_thigh,sensor,SHAP,0.6904761904761905,0.6952871680217045,14,19
Random Forest,realworld_thigh,sensor,SHAP,0.6964285714285714,0.7021373397843985,13,2
Random Forest,realworld_thigh,sensor,SHAP,0.7023809523809523,0.7083245688324439,12,16
Random Forest,realworld_thigh,sensor,SHAP,0.7023809523809523,0.7082766439909296,11,22
Random Forest,realworld_thigh,sensor,SHAP,0.7202380952380952,0.7254350263201369,10,5
Random Forest,realworld_thigh,sensor,SHAP,0.7023809523809523,0.7078909748491311,9,4
Random Forest,realworld_thigh,sensor,SHAP,0.7321428571428571,0.736606538409463,8,17
Random Forest,realworld_thigh,sensor,SHAP,0.7083333333333334,0.7126963885928257,7,12
Random Forest,realworld_thigh,sensor,SHAP,0.7023809523809523,0.7056607461729166,6,7
Random Forest,realworld_thigh,sensor,SHAP,0.7142857142857143,0.7180912981041202,5,9
Random Forest,realworld_thigh,sensor,SHAP,0.7083333333333334,0.7127323720456938,4,6
Random Forest,realworld_thigh,sensor,SHAP,0.6369047619047619,0.6393658757208988,3,1
Random Forest,realworld_thigh,sensor,SHAP,0.5178571428571429,0.5206555203349859,2,13
Random Forest,realworld_thigh,sensor,SHAP,0.43452380952380953,0.434465930174198,1,0
