Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,all,Tree,0.5595238095238095,0.5692468419418774,24,12
Decision Tree,realworld_waist,all,Tree,0.5595238095238095,0.5701658676823508,23,14
Decision Tree,realworld_waist,all,Tree,0.5416666666666666,0.5487473671814899,22,9
Decision Tree,realworld_waist,all,Tree,0.5297619047619048,0.5374415370945408,21,10
Decision Tree,realworld_waist,all,Tree,0.5357142857142857,0.5446698971305478,20,19
Decision Tree,realworld_waist,all,Tree,0.5416666666666666,0.5514111107986764,19,23
Decision Tree,realworld_waist,all,Tree,0.5476190476190477,0.5542508707426249,18,15
Decision Tree,realworld_waist,all,Tree,0.5654761904761905,0.5731168353231909,17,18
Decision Tree,realworld_waist,all,Tree,0.5773809523809523,0.5788564762764504,16,7
Decision Tree,realworld_waist,all,Tree,0.5654761904761905,0.5733560090702947,15,22
Decision Tree,realworld_waist,all,Tree,0.5476190476190477,0.5528660711388659,14,17
Decision Tree,realworld_waist,all,Tree,0.5535714285714286,0.5597230721725852,13,13
Decision Tree,realworld_waist,all,Tree,0.5238095238095238,0.5289055067064233,12,11
Decision Tree,realworld_waist,all,Tree,0.5297619047619048,0.5307760141093474,11,0
Decision Tree,realworld_waist,all,Tree,0.5773809523809523,0.577211922063752,10,1
Decision Tree,realworld_waist,all,Tree,0.5535714285714286,0.555124521072797,9,6
Decision Tree,realworld_waist,all,Tree,0.5535714285714286,0.5508636788048552,8,16
Decision Tree,realworld_waist,all,Tree,0.5595238095238095,0.5631586912102651,7,3
Decision Tree,realworld_waist,all,Tree,0.5773809523809523,0.579325535856976,6,8
Decision Tree,realworld_waist,all,Tree,0.6011904761904762,0.6055296982926471,5,21
Decision Tree,realworld_waist,all,Tree,0.5833333333333334,0.583420986478262,4,2
Decision Tree,realworld_waist,all,Tree,0.5059523809523809,0.507265760917569,3,4
Decision Tree,realworld_waist,all,Tree,0.494047619047619,0.4959730053213599,2,20
Decision Tree,realworld_waist,all,Tree,0.47023809523809523,0.4706275994607181,1,5
