Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_waist,all,ORACLE,0.5654761904761905,0.5696383511321438,24,2
KNN,realworld_waist,all,ORACLE,0.6369047619047619,0.6404893127287189,23,6
KNN,realworld_waist,all,ORACLE,0.6309523809523809,0.6350407994933204,22,7
KNN,realworld_waist,all,ORACLE,0.6488095238095238,0.6528463282719644,21,0
KNN,realworld_waist,all,ORACLE,0.625,0.6280385521241899,20,1
KNN,realworld_waist,all,ORACLE,0.6130952380952381,0.6155268203609677,19,4
KNN,realworld_waist,all,ORACLE,0.6190476190476191,0.6239516273474119,18,3
KNN,realworld_waist,all,ORACLE,0.6130952380952381,0.6203644233048862,17,5
KNN,realworld_waist,all,ORACLE,0.625,0.6291855198096546,16,21
KNN,realworld_waist,all,ORACLE,0.6309523809523809,0.6343548927951196,15,20
KNN,realworld_waist,all,ORACLE,0.625,0.6294533284970444,14,10
KNN,realworld_waist,all,ORACLE,0.6011904761904762,0.6065519428110228,13,16
KNN,realworld_waist,all,ORACLE,0.6130952380952381,0.616958523748072,12,14
KNN,realworld_waist,all,ORACLE,0.6071428571428571,0.6107648787159515,11,11
KNN,realworld_waist,all,ORACLE,0.6071428571428571,0.6110344921434596,10,12
KNN,realworld_waist,all,ORACLE,0.6130952380952381,0.6165854377654038,9,23
KNN,realworld_waist,all,ORACLE,0.5952380952380952,0.5996339188791374,8,15
KNN,realworld_waist,all,ORACLE,0.6071428571428571,0.6114248789711956,7,22
KNN,realworld_waist,all,ORACLE,0.6130952380952381,0.6162992795684582,6,17
KNN,realworld_waist,all,ORACLE,0.6011904761904762,0.6052894009993592,5,19
KNN,realworld_waist,all,ORACLE,0.6190476190476191,0.6208098767768241,4,9
KNN,realworld_waist,all,ORACLE,0.6428571428571429,0.6466708834000012,3,18
KNN,realworld_waist,all,ORACLE,0.6190476190476191,0.6238422900687064,2,8
KNN,realworld_waist,all,ORACLE,0.5297619047619048,0.5277615295047013,1,13
