Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_waist,all,ORACLE,0.6428571428571429,0.6474426807760141,24,23
Random Forest,realworld_waist,all,ORACLE,0.6726190476190477,0.6744107013808894,23,15
Random Forest,realworld_waist,all,ORACLE,0.6666666666666666,0.6708396034691754,22,1
Random Forest,realworld_waist,all,ORACLE,0.6488095238095238,0.6531437948929443,21,7
Random Forest,realworld_waist,all,ORACLE,0.6666666666666666,0.6696682659253281,20,6
Random Forest,realworld_waist,all,ORACLE,0.6488095238095238,0.6511564275301213,19,16
Random Forest,realworld_waist,all,ORACLE,0.6666666666666666,0.669754445178174,18,4
Random Forest,realworld_waist,all,ORACLE,0.6666666666666666,0.6693733712390428,17,21
Random Forest,realworld_waist,all,ORACLE,0.6666666666666666,0.6692827492037284,16,10
Random Forest,realworld_waist,all,ORACLE,0.6488095238095238,0.6521503156499487,15,13
Random Forest,realworld_waist,all,ORACLE,0.6666666666666666,0.6711907082521118,14,3
Random Forest,realworld_waist,all,ORACLE,0.625,0.6278654744381361,13,20
Random Forest,realworld_waist,all,ORACLE,0.6547619047619048,0.6591971545475254,12,19
Random Forest,realworld_waist,all,ORACLE,0.6547619047619048,0.6577412419839629,11,12
Random Forest,realworld_waist,all,ORACLE,0.6428571428571429,0.6462401683887558,10,5
Random Forest,realworld_waist,all,ORACLE,0.6607142857142857,0.6648852565297659,9,8
Random Forest,realworld_waist,all,ORACLE,0.6547619047619048,0.6605544579142997,8,18
Random Forest,realworld_waist,all,ORACLE,0.6785714285714286,0.6829356060606061,7,0
Random Forest,realworld_waist,all,ORACLE,0.6607142857142857,0.6652692099175014,6,9
Random Forest,realworld_waist,all,ORACLE,0.6607142857142857,0.6647621168757437,5,17
Random Forest,realworld_waist,all,ORACLE,0.6130952380952381,0.6161763573612072,4,11
Random Forest,realworld_waist,all,ORACLE,0.6309523809523809,0.6322597028823477,3,22
Random Forest,realworld_waist,all,ORACLE,0.5535714285714286,0.552439393667915,2,14
Random Forest,realworld_waist,all,ORACLE,0.4523809523809524,0.455947242073087,1,2
