Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_waist,all,Random Forest,0.6428571428571429,0.6474426807760141,24,9
Random Forest,realworld_waist,all,Random Forest,0.6428571428571429,0.645084465343086,23,12
Random Forest,realworld_waist,all,Random Forest,0.6488095238095238,0.6522270476899893,22,23
Random Forest,realworld_waist,all,Random Forest,0.6666666666666666,0.6692884208307751,21,11
Random Forest,realworld_waist,all,Random Forest,0.625,0.6294952725549741,20,22
Random Forest,realworld_waist,all,Random Forest,0.6488095238095238,0.6509587507695184,19,17
Random Forest,realworld_waist,all,Random Forest,0.6428571428571429,0.6460487815117232,18,18
Random Forest,realworld_waist,all,Random Forest,0.6369047619047619,0.6402211446107714,17,14
Random Forest,realworld_waist,all,Random Forest,0.6369047619047619,0.6390873015873016,16,6
Random Forest,realworld_waist,all,Random Forest,0.6130952380952381,0.6154385789801636,15,7
Random Forest,realworld_waist,all,Random Forest,0.6428571428571429,0.6425562574756678,14,8
Random Forest,realworld_waist,all,Random Forest,0.6428571428571429,0.6433917505205801,13,4
Random Forest,realworld_waist,all,Random Forest,0.6428571428571429,0.64488598488142,12,19
Random Forest,realworld_waist,all,Random Forest,0.6547619047619048,0.6562364964134474,11,21
Random Forest,realworld_waist,all,Random Forest,0.6309523809523809,0.6306162501809762,10,10
Random Forest,realworld_waist,all,Random Forest,0.6190476190476191,0.6208157206596719,9,1
Random Forest,realworld_waist,all,Random Forest,0.6547619047619048,0.6570176087466999,8,15
Random Forest,realworld_waist,all,Random Forest,0.625,0.6282219469076211,7,20
Random Forest,realworld_waist,all,Random Forest,0.6309523809523809,0.6344204752137828,6,13
Random Forest,realworld_waist,all,Random Forest,0.6011904761904762,0.6038162739200827,5,2
Random Forest,realworld_waist,all,Random Forest,0.6309523809523809,0.6336933776496942,4,0
Random Forest,realworld_waist,all,Random Forest,0.6130952380952381,0.6187267033707831,3,3
Random Forest,realworld_waist,all,Random Forest,0.5476190476190477,0.554484018487778,2,5
Random Forest,realworld_waist,all,Random Forest,0.30952380952380953,0.3205603437956379,1,16
