Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_waist,all,SHAP,0.6428571428571429,0.6474426807760141,24,9
Random Forest,realworld_waist,all,SHAP,0.6428571428571429,0.645084465343086,23,12
Random Forest,realworld_waist,all,SHAP,0.6488095238095238,0.6522270476899893,22,22
Random Forest,realworld_waist,all,SHAP,0.6547619047619048,0.6572912952697907,21,23
Random Forest,realworld_waist,all,SHAP,0.6607142857142857,0.6632671233097284,20,18
Random Forest,realworld_waist,all,SHAP,0.6488095238095238,0.6521205075368305,19,17
Random Forest,realworld_waist,all,SHAP,0.6369047619047619,0.6407285555731727,18,14
Random Forest,realworld_waist,all,SHAP,0.6309523809523809,0.6325039189139926,17,11
Random Forest,realworld_waist,all,SHAP,0.6369047619047619,0.6390873015873016,16,6
Random Forest,realworld_waist,all,SHAP,0.6130952380952381,0.6154385789801636,15,7
Random Forest,realworld_waist,all,SHAP,0.6428571428571429,0.6425562574756678,14,21
Random Forest,realworld_waist,all,SHAP,0.6190476190476191,0.6215151236656613,13,4
Random Forest,realworld_waist,all,SHAP,0.6369047619047619,0.6384155007774505,12,8
Random Forest,realworld_waist,all,SHAP,0.6428571428571429,0.6459573823146411,11,19
Random Forest,realworld_waist,all,SHAP,0.6309523809523809,0.6306162501809762,10,10
Random Forest,realworld_waist,all,SHAP,0.6190476190476191,0.6208157206596719,9,1
Random Forest,realworld_waist,all,SHAP,0.6547619047619048,0.6570176087466999,8,13
Random Forest,realworld_waist,all,SHAP,0.6428571428571429,0.6430832981726748,7,20
Random Forest,realworld_waist,all,SHAP,0.6071428571428571,0.6090551858503986,6,16
Random Forest,realworld_waist,all,SHAP,0.625,0.6263599250270384,5,2
Random Forest,realworld_waist,all,SHAP,0.6369047619047619,0.641714753571948,4,0
Random Forest,realworld_waist,all,SHAP,0.6369047619047619,0.6415869045665987,3,3
Random Forest,realworld_waist,all,SHAP,0.6309523809523809,0.6317548721622447,2,15
Random Forest,realworld_waist,all,SHAP,0.47023809523809523,0.4706275994607181,1,5
