Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_waist,all,ORACLE,0.5714285714285714,0.5788659706306766,24,0
SVM,realworld_waist,all,ORACLE,0.6190476190476191,0.624029398726312,23,3
SVM,realworld_waist,all,ORACLE,0.6130952380952381,0.6196416029998982,22,1
SVM,realworld_waist,all,ORACLE,0.6190476190476191,0.6245194011641381,21,20
SVM,realworld_waist,all,ORACLE,0.6369047619047619,0.642213968826872,20,7
SVM,realworld_waist,all,ORACLE,0.6428571428571429,0.6475638428334625,19,9
SVM,realworld_waist,all,ORACLE,0.6369047619047619,0.6412406831066643,18,21
SVM,realworld_waist,all,ORACLE,0.6369047619047619,0.6412406831066643,17,19
SVM,realworld_waist,all,ORACLE,0.6369047619047619,0.6412406831066643,16,18
SVM,realworld_waist,all,ORACLE,0.6369047619047619,0.6412406831066643,15,17
SVM,realworld_waist,all,ORACLE,0.6309523809523809,0.6359399400627334,14,16
SVM,realworld_waist,all,ORACLE,0.6428571428571429,0.6482087392792488,13,15
SVM,realworld_waist,all,ORACLE,0.6369047619047619,0.6433395724801598,12,14
SVM,realworld_waist,all,ORACLE,0.6309523809523809,0.6377138063705227,11,11
SVM,realworld_waist,all,ORACLE,0.6130952380952381,0.6202704653977701,10,12
SVM,realworld_waist,all,ORACLE,0.6130952380952381,0.6207501603334936,9,22
SVM,realworld_waist,all,ORACLE,0.625,0.6325082325082325,8,10
SVM,realworld_waist,all,ORACLE,0.625,0.6315604575942232,7,5
SVM,realworld_waist,all,ORACLE,0.6190476190476191,0.6250731494944018,6,4
SVM,realworld_waist,all,ORACLE,0.5178571428571429,0.4850983647845676,5,13
SVM,realworld_waist,all,ORACLE,0.5178571428571429,0.4841970415740907,4,23
SVM,realworld_waist,all,ORACLE,0.5059523809523809,0.4729936729936729,3,8
SVM,realworld_waist,all,ORACLE,0.5297619047619048,0.4955654952348698,2,6
SVM,realworld_waist,all,ORACLE,0.5059523809523809,0.47056444872210434,1,2
