Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,axis,LIME,0.6666666666666666,0.6669063600706039,24,7
Decision Tree,realworld_waist,axis,LIME,0.6785714285714286,0.6757668458132855,23,3
Decision Tree,realworld_waist,axis,LIME,0.6845238095238095,0.6840397826007036,22,6
Decision Tree,realworld_waist,axis,LIME,0.6666666666666666,0.6635673624288426,21,19
Decision Tree,realworld_waist,axis,LIME,0.6428571428571429,0.6343674640255407,20,23
Decision Tree,realworld_waist,axis,LIME,0.6964285714285714,0.6930971327523051,19,20
Decision Tree,realworld_waist,axis,LIME,0.6845238095238095,0.682954403114974,18,18
Decision Tree,realworld_waist,axis,LIME,0.6726190476190477,0.667983012414005,17,9
Decision Tree,realworld_waist,axis,LIME,0.6845238095238095,0.6857330365804942,16,22
Decision Tree,realworld_waist,axis,LIME,0.6607142857142857,0.65805302039165,15,14
Decision Tree,realworld_waist,axis,LIME,0.6369047619047619,0.6354219166589075,14,2
Decision Tree,realworld_waist,axis,LIME,0.6785714285714286,0.6793268907606476,13,10
Decision Tree,realworld_waist,axis,LIME,0.7142857142857143,0.7094065656565656,12,21
Decision Tree,realworld_waist,axis,LIME,0.6369047619047619,0.6359366087757111,11,17
Decision Tree,realworld_waist,axis,LIME,0.6666666666666666,0.6655989212553036,10,12
Decision Tree,realworld_waist,axis,LIME,0.6666666666666666,0.6597519355715529,9,8
Decision Tree,realworld_waist,axis,LIME,0.6845238095238095,0.6791126836950351,8,0
Decision Tree,realworld_waist,axis,LIME,0.7023809523809523,0.6970992675454822,7,4
Decision Tree,realworld_waist,axis,LIME,0.625,0.6115871812271684,6,15
Decision Tree,realworld_waist,axis,LIME,0.6309523809523809,0.6170083510281059,5,11
Decision Tree,realworld_waist,axis,LIME,0.5952380952380952,0.5899888620891947,4,5
Decision Tree,realworld_waist,axis,LIME,0.6071428571428571,0.6032112965970385,3,13
Decision Tree,realworld_waist,axis,LIME,0.5059523809523809,0.5120658062933104,2,16
Decision Tree,realworld_waist,axis,LIME,0.43452380952380953,0.44179740097541625,1,1
