Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,axis,SHAP,0.6666666666666666,0.6669063600706039,24,19
Decision Tree,realworld_waist,axis,SHAP,0.6845238095238095,0.6807304049768068,23,6
Decision Tree,realworld_waist,axis,SHAP,0.6785714285714286,0.6734470049996727,22,7
Decision Tree,realworld_waist,axis,SHAP,0.6547619047619048,0.6457051523061289,21,3
Decision Tree,realworld_waist,axis,SHAP,0.6428571428571429,0.6343674640255407,20,23
Decision Tree,realworld_waist,axis,SHAP,0.6964285714285714,0.6930971327523051,19,14
Decision Tree,realworld_waist,axis,SHAP,0.6547619047619048,0.6524566890648557,18,5
Decision Tree,realworld_waist,axis,SHAP,0.6369047619047619,0.6326278659611992,17,13
Decision Tree,realworld_waist,axis,SHAP,0.6488095238095238,0.6460223529860997,16,17
Decision Tree,realworld_waist,axis,SHAP,0.6666666666666666,0.6624679891449757,15,20
Decision Tree,realworld_waist,axis,SHAP,0.6785714285714286,0.6764122765757872,14,18
Decision Tree,realworld_waist,axis,SHAP,0.7023809523809523,0.6974055829228242,13,9
Decision Tree,realworld_waist,axis,SHAP,0.6785714285714286,0.6780832236934602,12,4
Decision Tree,realworld_waist,axis,SHAP,0.7202380952380952,0.7191959275292609,11,22
Decision Tree,realworld_waist,axis,SHAP,0.6607142857142857,0.6604814671442375,10,8
Decision Tree,realworld_waist,axis,SHAP,0.6488095238095238,0.649067651210303,9,15
Decision Tree,realworld_waist,axis,SHAP,0.7380952380952381,0.7375615985433548,8,11
Decision Tree,realworld_waist,axis,SHAP,0.7440476190476191,0.7396067821067822,7,2
Decision Tree,realworld_waist,axis,SHAP,0.7559523809523809,0.7559459670754203,6,0
Decision Tree,realworld_waist,axis,SHAP,0.6488095238095238,0.6466424682395644,5,12
Decision Tree,realworld_waist,axis,SHAP,0.6488095238095238,0.6420840552785336,4,10
Decision Tree,realworld_waist,axis,SHAP,0.5952380952380952,0.6011630552735674,3,21
Decision Tree,realworld_waist,axis,SHAP,0.5059523809523809,0.5120658062933104,2,16
Decision Tree,realworld_waist,axis,SHAP,0.43452380952380953,0.44179740097541625,1,1
