Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_waist,axis,LIME,0.7797619047619048,0.7713408480913557,24,17
KNN,realworld_waist,axis,LIME,0.7738095238095238,0.7656924029692264,23,14
KNN,realworld_waist,axis,LIME,0.7619047619047619,0.7540506119244502,22,2
KNN,realworld_waist,axis,LIME,0.7738095238095238,0.7656525644824899,21,5
KNN,realworld_waist,axis,LIME,0.7619047619047619,0.7516753291546078,20,23
KNN,realworld_waist,axis,LIME,0.7559523809523809,0.7437841816300349,19,15
KNN,realworld_waist,axis,LIME,0.7619047619047619,0.7523961361320435,18,9
KNN,realworld_waist,axis,LIME,0.7559523809523809,0.7463682797312164,17,3
KNN,realworld_waist,axis,LIME,0.7678571428571429,0.7590842158347235,16,18
KNN,realworld_waist,axis,LIME,0.75,0.7419325871297558,15,19
KNN,realworld_waist,axis,LIME,0.7440476190476191,0.7386154929087687,14,7
KNN,realworld_waist,axis,LIME,0.7559523809523809,0.7507679631194136,13,22
KNN,realworld_waist,axis,LIME,0.75,0.745261896613996,12,21
KNN,realworld_waist,axis,LIME,0.7440476190476191,0.7381419372657757,11,13
KNN,realworld_waist,axis,LIME,0.7261904761904762,0.7209581721024508,10,11
KNN,realworld_waist,axis,LIME,0.75,0.7453302253302253,9,10
KNN,realworld_waist,axis,LIME,0.7202380952380952,0.7120508754947155,8,16
KNN,realworld_waist,axis,LIME,0.6964285714285714,0.6983281732304456,7,6
KNN,realworld_waist,axis,LIME,0.6904761904761905,0.6897053754739318,6,12
KNN,realworld_waist,axis,LIME,0.6071428571428571,0.610359231411863,5,20
KNN,realworld_waist,axis,LIME,0.7619047619047619,0.7591023730803418,4,4
KNN,realworld_waist,axis,LIME,0.7142857142857143,0.7102453102453102,3,1
KNN,realworld_waist,axis,LIME,0.5952380952380952,0.5960266308604119,2,0
KNN,realworld_waist,axis,LIME,0.5238095238095238,0.5253782098317733,1,8
