Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_waist,axis,SHAP,0.7797619047619048,0.7713408480913557,24,14
KNN,realworld_waist,axis,SHAP,0.7738095238095238,0.7661033989733096,23,19
KNN,realworld_waist,axis,SHAP,0.7797619047619048,0.7748152312549359,22,17
KNN,realworld_waist,axis,SHAP,0.7738095238095238,0.7684108893282059,21,5
KNN,realworld_waist,axis,SHAP,0.7619047619047619,0.7549539655770828,20,7
KNN,realworld_waist,axis,SHAP,0.7678571428571429,0.7614820693559078,19,2
KNN,realworld_waist,axis,SHAP,0.75,0.7426554918500293,18,18
KNN,realworld_waist,axis,SHAP,0.7440476190476191,0.7370216154924688,17,23
KNN,realworld_waist,axis,SHAP,0.7440476190476191,0.7342494367764069,16,9
KNN,realworld_waist,axis,SHAP,0.7380952380952381,0.7289438645669818,15,22
KNN,realworld_waist,axis,SHAP,0.7619047619047619,0.7557386883407876,14,3
KNN,realworld_waist,axis,SHAP,0.7559523809523809,0.7504086382119182,13,15
KNN,realworld_waist,axis,SHAP,0.75,0.745261896613996,12,13
KNN,realworld_waist,axis,SHAP,0.7261904761904762,0.7219364714887103,11,6
KNN,realworld_waist,axis,SHAP,0.7440476190476191,0.7368928417546295,10,10
KNN,realworld_waist,axis,SHAP,0.6964285714285714,0.6821290307652079,9,11
KNN,realworld_waist,axis,SHAP,0.7142857142857143,0.7047467618287251,8,16
KNN,realworld_waist,axis,SHAP,0.6845238095238095,0.6850469811201275,7,4
KNN,realworld_waist,axis,SHAP,0.6726190476190477,0.6661508820903027,6,21
KNN,realworld_waist,axis,SHAP,0.6964285714285714,0.6949960201347549,5,20
KNN,realworld_waist,axis,SHAP,0.7678571428571429,0.7633053659256653,4,12
KNN,realworld_waist,axis,SHAP,0.7142857142857143,0.7102453102453102,3,1
KNN,realworld_waist,axis,SHAP,0.5952380952380952,0.5960266308604119,2,0
KNN,realworld_waist,axis,SHAP,0.5238095238095238,0.5253782098317733,1,8
