Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_waist,axis,LIME,0.7738095238095238,0.7724403033230822,24,17
Random Forest,realworld_waist,axis,LIME,0.7797619047619048,0.7783737590239138,23,15
Random Forest,realworld_waist,axis,LIME,0.7678571428571429,0.7674806674806675,22,3
Random Forest,realworld_waist,axis,LIME,0.7619047619047619,0.7604310734466245,21,14
Random Forest,realworld_waist,axis,LIME,0.7678571428571429,0.7658887076941091,20,23
Random Forest,realworld_waist,axis,LIME,0.7916666666666666,0.7907888485169027,19,18
Random Forest,realworld_waist,axis,LIME,0.7916666666666666,0.7889977237207914,18,16
Random Forest,realworld_waist,axis,LIME,0.75,0.7503288417067356,17,10
Random Forest,realworld_waist,axis,LIME,0.7440476190476191,0.7427786716711479,16,7
Random Forest,realworld_waist,axis,LIME,0.7440476190476191,0.7449375806077517,15,19
Random Forest,realworld_waist,axis,LIME,0.7440476190476191,0.7439350493087482,14,5
Random Forest,realworld_waist,axis,LIME,0.7440476190476191,0.7438534070129849,13,21
Random Forest,realworld_waist,axis,LIME,0.7440476190476191,0.7432080596675492,12,11
Random Forest,realworld_waist,axis,LIME,0.7380952380952381,0.7383280118574237,11,22
Random Forest,realworld_waist,axis,LIME,0.75,0.7496349945665521,10,2
Random Forest,realworld_waist,axis,LIME,0.7380952380952381,0.7376819263022093,9,8
Random Forest,realworld_waist,axis,LIME,0.7142857142857143,0.7145942351299494,8,9
Random Forest,realworld_waist,axis,LIME,0.6964285714285714,0.6949746056703603,7,6
Random Forest,realworld_waist,axis,LIME,0.7083333333333334,0.707678687947788,6,20
Random Forest,realworld_waist,axis,LIME,0.7797619047619048,0.7740807625662748,5,4
Random Forest,realworld_waist,axis,LIME,0.7678571428571429,0.7618832720445624,4,12
Random Forest,realworld_waist,axis,LIME,0.6964285714285714,0.6876312014704872,3,0
Random Forest,realworld_waist,axis,LIME,0.6369047619047619,0.6240026883513746,2,1
Random Forest,realworld_waist,axis,LIME,0.47023809523809523,0.4728068772367993,1,13
