Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_waist,axis,ORACLE,0.7738095238095238,0.7724403033230822,24,21
Random Forest,realworld_waist,axis,ORACLE,0.8154761904761905,0.8128523389179128,23,7
Random Forest,realworld_waist,axis,ORACLE,0.7857142857142857,0.7841355511740907,22,23
Random Forest,realworld_waist,axis,ORACLE,0.7857142857142857,0.7844068212489265,21,20
Random Forest,realworld_waist,axis,ORACLE,0.7916666666666666,0.7884184443007971,20,22
Random Forest,realworld_waist,axis,ORACLE,0.8154761904761905,0.8114741594160481,19,0
Random Forest,realworld_waist,axis,ORACLE,0.7916666666666666,0.7862867806835903,18,3
Random Forest,realworld_waist,axis,ORACLE,0.8095238095238095,0.8042961848222742,17,6
Random Forest,realworld_waist,axis,ORACLE,0.7916666666666666,0.7883243934494945,16,5
Random Forest,realworld_waist,axis,ORACLE,0.7976190476190477,0.7914788750295573,15,17
Random Forest,realworld_waist,axis,ORACLE,0.8095238095238095,0.8033389348981145,14,4
Random Forest,realworld_waist,axis,ORACLE,0.7916666666666666,0.7842717276956769,13,1
Random Forest,realworld_waist,axis,ORACLE,0.7738095238095238,0.7723264389931056,12,2
Random Forest,realworld_waist,axis,ORACLE,0.7797619047619048,0.7777833731403413,11,18
Random Forest,realworld_waist,axis,ORACLE,0.7857142857142857,0.7861986224989321,10,8
Random Forest,realworld_waist,axis,ORACLE,0.75,0.749579381587103,9,13
Random Forest,realworld_waist,axis,ORACLE,0.7738095238095238,0.7710047557146971,8,19
Random Forest,realworld_waist,axis,ORACLE,0.7916666666666666,0.7913168950189468,7,11
Random Forest,realworld_waist,axis,ORACLE,0.7738095238095238,0.7741582025394772,6,15
Random Forest,realworld_waist,axis,ORACLE,0.7797619047619048,0.7803880447430679,5,10
Random Forest,realworld_waist,axis,ORACLE,0.7261904761904762,0.7209442732337535,4,9
Random Forest,realworld_waist,axis,ORACLE,0.6190476190476191,0.611673726370239,3,12
Random Forest,realworld_waist,axis,ORACLE,0.5535714285714286,0.5513071895424836,2,14
Random Forest,realworld_waist,axis,ORACLE,0.44642857142857145,0.4484828446606904,1,16
