Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,realworld_waist,axis,SHAP,0.7738095238095238,0.7724403033230822,24,17
Random Forest,realworld_waist,axis,SHAP,0.7797619047619048,0.7783737590239138,23,5
Random Forest,realworld_waist,axis,SHAP,0.7738095238095238,0.7710141719364052,22,3
Random Forest,realworld_waist,axis,SHAP,0.7976190476190477,0.7950441750251999,21,19
Random Forest,realworld_waist,axis,SHAP,0.7559523809523809,0.7541518819231082,20,15
Random Forest,realworld_waist,axis,SHAP,0.7559523809523809,0.7539352735976371,19,18
Random Forest,realworld_waist,axis,SHAP,0.7440476190476191,0.7435565280649691,18,14
Random Forest,realworld_waist,axis,SHAP,0.7619047619047619,0.7611318757131403,17,7
Random Forest,realworld_waist,axis,SHAP,0.75,0.7497488888293486,16,16
Random Forest,realworld_waist,axis,SHAP,0.7142857142857143,0.7152651796864321,15,22
Random Forest,realworld_waist,axis,SHAP,0.75,0.7486903582590912,14,9
Random Forest,realworld_waist,axis,SHAP,0.75,0.7500368197674554,13,8
Random Forest,realworld_waist,axis,SHAP,0.7321428571428571,0.732089238829435,12,20
Random Forest,realworld_waist,axis,SHAP,0.7619047619047619,0.7609173088850842,11,2
Random Forest,realworld_waist,axis,SHAP,0.75,0.7490136234075716,10,6
Random Forest,realworld_waist,axis,SHAP,0.7619047619047619,0.7588059514286868,9,11
Random Forest,realworld_waist,axis,SHAP,0.7440476190476191,0.742116647720096,8,23
Random Forest,realworld_waist,axis,SHAP,0.7619047619047619,0.760552161619689,7,4
Random Forest,realworld_waist,axis,SHAP,0.7976190476190477,0.7969363969363971,6,10
Random Forest,realworld_waist,axis,SHAP,0.7619047619047619,0.7556633722007929,5,21
Random Forest,realworld_waist,axis,SHAP,0.7678571428571429,0.7618832720445624,4,12
Random Forest,realworld_waist,axis,SHAP,0.6964285714285714,0.6876312014704872,3,0
Random Forest,realworld_waist,axis,SHAP,0.6369047619047619,0.6240026883513746,2,13
Random Forest,realworld_waist,axis,SHAP,0.43452380952380953,0.44179740097541625,1,1
