Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_waist,axis,SHAP,0.7440476190476191,0.7379382095113716,24,17
SVM,realworld_waist,axis,SHAP,0.7440476190476191,0.7379382095113716,23,5
SVM,realworld_waist,axis,SHAP,0.7440476190476191,0.7384277966505751,22,14
SVM,realworld_waist,axis,SHAP,0.7380952380952381,0.7322631899628296,21,7
SVM,realworld_waist,axis,SHAP,0.7559523809523809,0.7514725890356142,20,3
SVM,realworld_waist,axis,SHAP,0.7559523809523809,0.7514725890356142,19,2
SVM,realworld_waist,axis,SHAP,0.7380952380952381,0.7307420627113722,18,18
SVM,realworld_waist,axis,SHAP,0.7380952380952381,0.7307420627113722,17,19
SVM,realworld_waist,axis,SHAP,0.7321428571428571,0.724657693246721,16,9
SVM,realworld_waist,axis,SHAP,0.7380952380952381,0.7311109992067862,15,23
SVM,realworld_waist,axis,SHAP,0.7380952380952381,0.7311109992067862,14,16
SVM,realworld_waist,axis,SHAP,0.7380952380952381,0.7307684965871831,13,15
SVM,realworld_waist,axis,SHAP,0.75,0.7444417454830315,12,22
SVM,realworld_waist,axis,SHAP,0.7440476190476191,0.7374574597978855,11,13
SVM,realworld_waist,axis,SHAP,0.7202380952380952,0.7141210739614995,10,6
SVM,realworld_waist,axis,SHAP,0.7261904761904762,0.7191315396862509,9,11
SVM,realworld_waist,axis,SHAP,0.7321428571428571,0.7263972129118893,8,10
SVM,realworld_waist,axis,SHAP,0.7083333333333334,0.7004850510513645,7,4
SVM,realworld_waist,axis,SHAP,0.6845238095238095,0.6721035576089172,6,20
SVM,realworld_waist,axis,SHAP,0.6845238095238095,0.6721035576089172,5,21
SVM,realworld_waist,axis,SHAP,0.7142857142857143,0.7067856189752773,4,12
SVM,realworld_waist,axis,SHAP,0.6726190476190477,0.6692375541766001,3,0
SVM,realworld_waist,axis,SHAP,0.6428571428571429,0.6331544285116305,2,8
SVM,realworld_waist,axis,SHAP,0.5952380952380952,0.5418584728929556,1,1
