Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,sensor,ORACLE,0.6011904761904762,0.6029813811201808,24,1
Decision Tree,realworld_waist,sensor,ORACLE,0.6547619047619048,0.6604887446358849,23,7
Decision Tree,realworld_waist,sensor,ORACLE,0.625,0.6215491206784739,22,10
Decision Tree,realworld_waist,sensor,ORACLE,0.6190476190476191,0.6198398370854595,21,6
Decision Tree,realworld_waist,sensor,ORACLE,0.6369047619047619,0.6351907834726792,20,4
Decision Tree,realworld_waist,sensor,ORACLE,0.5238095238095238,0.5209213482469296,19,5
Decision Tree,realworld_waist,sensor,ORACLE,0.5595238095238095,0.5569425755152966,18,12
Decision Tree,realworld_waist,sensor,ORACLE,0.5297619047619048,0.5298586713508797,17,16
Decision Tree,realworld_waist,sensor,ORACLE,0.6488095238095238,0.6484004656380568,16,15
Decision Tree,realworld_waist,sensor,ORACLE,0.6309523809523809,0.6318791507387999,15,13
Decision Tree,realworld_waist,sensor,ORACLE,0.6488095238095238,0.6475216827045319,14,0
Decision Tree,realworld_waist,sensor,ORACLE,0.6428571428571429,0.6427222086994325,13,18
Decision Tree,realworld_waist,sensor,ORACLE,0.6547619047619048,0.6578279453396515,12,23
Decision Tree,realworld_waist,sensor,ORACLE,0.5952380952380952,0.5909877965523127,11,9
Decision Tree,realworld_waist,sensor,ORACLE,0.6607142857142857,0.6571656510998971,10,3
Decision Tree,realworld_waist,sensor,ORACLE,0.6309523809523809,0.6345550243855328,9,2
Decision Tree,realworld_waist,sensor,ORACLE,0.5773809523809523,0.5836497279998466,8,22
Decision Tree,realworld_waist,sensor,ORACLE,0.6011904761904762,0.606566127941704,7,17
Decision Tree,realworld_waist,sensor,ORACLE,0.625,0.6263013767122971,6,19
Decision Tree,realworld_waist,sensor,ORACLE,0.5654761904761905,0.5750597119225674,5,11
Decision Tree,realworld_waist,sensor,ORACLE,0.5297619047619048,0.5280167946796187,4,14
Decision Tree,realworld_waist,sensor,ORACLE,0.4583333333333333,0.4573227659743122,3,21
Decision Tree,realworld_waist,sensor,ORACLE,0.4404761904761904,0.4406479315123416,2,8
Decision Tree,realworld_waist,sensor,ORACLE,0.35119047619047616,0.3415431266846361,1,20
