Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,realworld_waist,sensor,SHAP,0.6011904761904762,0.6029813811201808,24,7
Decision Tree,realworld_waist,sensor,SHAP,0.6488095238095238,0.6476028551297369,23,10
Decision Tree,realworld_waist,sensor,SHAP,0.5833333333333334,0.583401574437469,22,11
Decision Tree,realworld_waist,sensor,SHAP,0.5476190476190477,0.5444934474419988,21,12
Decision Tree,realworld_waist,sensor,SHAP,0.5535714285714286,0.5501512495836541,20,5
Decision Tree,realworld_waist,sensor,SHAP,0.5535714285714286,0.5496400542123233,19,19
Decision Tree,realworld_waist,sensor,SHAP,0.5773809523809523,0.5738134142545908,18,15
Decision Tree,realworld_waist,sensor,SHAP,0.6071428571428571,0.6045805540341059,17,14
Decision Tree,realworld_waist,sensor,SHAP,0.5892857142857143,0.5863581692249106,16,9
Decision Tree,realworld_waist,sensor,SHAP,0.6071428571428571,0.6033881385523364,15,8
Decision Tree,realworld_waist,sensor,SHAP,0.5238095238095238,0.5234305117478119,14,4
Decision Tree,realworld_waist,sensor,SHAP,0.5357142857142857,0.5277620064133924,13,21
Decision Tree,realworld_waist,sensor,SHAP,0.5535714285714286,0.5509815084987516,12,22
Decision Tree,realworld_waist,sensor,SHAP,0.5476190476190477,0.5457858311589778,11,6
Decision Tree,realworld_waist,sensor,SHAP,0.5773809523809523,0.573519850350514,10,20
Decision Tree,realworld_waist,sensor,SHAP,0.5773809523809523,0.573983184671718,9,18
Decision Tree,realworld_waist,sensor,SHAP,0.6309523809523809,0.6338506062819015,8,13
Decision Tree,realworld_waist,sensor,SHAP,0.6785714285714286,0.6827996219329608,7,0
Decision Tree,realworld_waist,sensor,SHAP,0.625,0.628259839289251,6,23
Decision Tree,realworld_waist,sensor,SHAP,0.6547619047619048,0.6545813873415742,5,17
Decision Tree,realworld_waist,sensor,SHAP,0.6309523809523809,0.6274937429174717,4,1
Decision Tree,realworld_waist,sensor,SHAP,0.5773809523809523,0.5710670254076372,3,3
Decision Tree,realworld_waist,sensor,SHAP,0.4761904761904761,0.4806434697231058,2,2
Decision Tree,realworld_waist,sensor,SHAP,0.34523809523809523,0.3453492752946305,1,16
