Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5991834289060393,24,17
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5991834289060393,23,20
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5991834289060393,22,22
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5991834289060393,21,8
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5991834289060393,20,9
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5991834289060393,19,11
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5991834289060393,18,10
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5991834289060393,17,18
SVM,realworld_waist,sensor,LIME,0.5952380952380952,0.6051304197242245,16,5
SVM,realworld_waist,sensor,LIME,0.5952380952380952,0.6051304197242245,15,6
SVM,realworld_waist,sensor,LIME,0.5833333333333334,0.5939376218323588,14,7
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5997692298378797,13,21
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5997692298378797,12,15
SVM,realworld_waist,sensor,LIME,0.5892857142857143,0.5997692298378797,11,23
SVM,realworld_waist,sensor,LIME,0.5833333333333334,0.5940304977617878,10,2
SVM,realworld_waist,sensor,LIME,0.5833333333333334,0.5940304977617878,9,16
SVM,realworld_waist,sensor,LIME,0.5833333333333334,0.5940304977617878,8,4
SVM,realworld_waist,sensor,LIME,0.5773809523809523,0.5880835069436027,7,13
SVM,realworld_waist,sensor,LIME,0.5714285714285714,0.5818957128295413,6,14
SVM,realworld_waist,sensor,LIME,0.5595238095238095,0.5696113261085013,5,19
SVM,realworld_waist,sensor,LIME,0.5654761904761905,0.5697233245149912,4,1
SVM,realworld_waist,sensor,LIME,0.5297619047619048,0.4977510347793366,3,3
SVM,realworld_waist,sensor,LIME,0.5297619047619048,0.5036695543301025,2,0
SVM,realworld_waist,sensor,LIME,0.47023809523809523,0.4309945178757609,1,12
