Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,all,Tree,0.65,0.6514807477519342,24,23
Decision Tree,uci,all,Tree,0.6714285714285714,0.673173869445056,23,10
Decision Tree,uci,all,Tree,0.6428571428571429,0.6446949277137957,22,0
Decision Tree,uci,all,Tree,0.6928571428571428,0.6942288826697963,21,22
Decision Tree,uci,all,Tree,0.7,0.7007314524555904,20,18
Decision Tree,uci,all,Tree,0.7,0.6987295121485654,19,13
Decision Tree,uci,all,Tree,0.6642857142857143,0.6641444991789819,18,7
Decision Tree,uci,all,Tree,0.6785714285714286,0.6796311693849268,17,5
Decision Tree,uci,all,Tree,0.6571428571428571,0.6591614105835292,16,21
Decision Tree,uci,all,Tree,0.6928571428571428,0.6935207467252333,15,6
Decision Tree,uci,all,Tree,0.6571428571428571,0.6560961146809362,14,14
Decision Tree,uci,all,Tree,0.6714285714285714,0.6695956932148865,13,12
Decision Tree,uci,all,Tree,0.7,0.6984487335407801,12,17
Decision Tree,uci,all,Tree,0.6285714285714286,0.6264122529306067,11,20
Decision Tree,uci,all,Tree,0.65,0.6464345738295318,10,4
Decision Tree,uci,all,Tree,0.6428571428571429,0.6412319467692266,9,19
Decision Tree,uci,all,Tree,0.6928571428571428,0.6917477158856469,8,1
Decision Tree,uci,all,Tree,0.6857142857142857,0.6842974213917701,7,8
Decision Tree,uci,all,Tree,0.7142857142857143,0.7112216717099502,6,9
Decision Tree,uci,all,Tree,0.7142857142857143,0.7138138697460731,5,15
Decision Tree,uci,all,Tree,0.6714285714285714,0.6702585381879583,4,2
Decision Tree,uci,all,Tree,0.6357142857142857,0.635496258127837,3,11
Decision Tree,uci,all,Tree,0.5,0.4953497713508837,2,16
Decision Tree,uci,all,Tree,0.5,0.4947876756066411,1,3
