Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,uci,all,ORACLE,0.7142857142857143,0.7127781077253416,24,6
KNN,uci,all,ORACLE,0.7357142857142858,0.7336996336996338,23,23
KNN,uci,all,ORACLE,0.7357142857142858,0.7345605007372634,22,4
KNN,uci,all,ORACLE,0.7285714285714285,0.7268855175033192,21,21
KNN,uci,all,ORACLE,0.7142857142857143,0.7123808650676324,20,20
KNN,uci,all,ORACLE,0.7142857142857143,0.7127107623271762,19,18
KNN,uci,all,ORACLE,0.7357142857142858,0.7344151814544628,18,16
KNN,uci,all,ORACLE,0.7285714285714285,0.7273770854888595,17,10
KNN,uci,all,ORACLE,0.7285714285714285,0.7270010334595527,16,11
KNN,uci,all,ORACLE,0.7214285714285714,0.7188403575989784,15,7
KNN,uci,all,ORACLE,0.7142857142857143,0.7118457900236486,14,3
KNN,uci,all,ORACLE,0.7142857142857143,0.7132509479647311,13,1
KNN,uci,all,ORACLE,0.6571428571428571,0.6561956828738336,12,9
KNN,uci,all,ORACLE,0.6642857142857143,0.6631902504491634,11,22
KNN,uci,all,ORACLE,0.6785714285714286,0.6772656150231591,10,13
KNN,uci,all,ORACLE,0.6785714285714286,0.6772656150231591,9,14
KNN,uci,all,ORACLE,0.6857142857142857,0.6842738705976579,8,15
KNN,uci,all,ORACLE,0.6714285714285714,0.6699699114661126,7,17
KNN,uci,all,ORACLE,0.6357142857142857,0.6354777220486773,6,19
KNN,uci,all,ORACLE,0.6285714285714286,0.6285658952985125,5,8
KNN,uci,all,ORACLE,0.6285714285714286,0.6240723583790712,4,0
KNN,uci,all,ORACLE,0.5357142857142857,0.5351768920734438,3,5
KNN,uci,all,ORACLE,0.5,0.4997089117778772,2,12
KNN,uci,all,ORACLE,0.4142857142857143,0.41914431673052366,1,2
