Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,axis,ORACLE,0.7642857142857142,0.7621611721611722,24,0
Decision Tree,uci,axis,ORACLE,0.8,0.799341360393992,23,20
Decision Tree,uci,axis,ORACLE,0.7857142857142857,0.7843159509713945,22,5
Decision Tree,uci,axis,ORACLE,0.7928571428571428,0.7907564506907172,21,22
Decision Tree,uci,axis,ORACLE,0.8285714285714286,0.8279739558686927,20,2
Decision Tree,uci,axis,ORACLE,0.7928571428571428,0.7912991348092603,19,3
Decision Tree,uci,axis,ORACLE,0.8071428571428572,0.805961061010297,18,4
Decision Tree,uci,axis,ORACLE,0.8071428571428572,0.8067843753870904,17,6
Decision Tree,uci,axis,ORACLE,0.8,0.7998510725804706,16,19
Decision Tree,uci,axis,ORACLE,0.8357142857142857,0.8359910029576891,15,12
Decision Tree,uci,axis,ORACLE,0.7928571428571428,0.7896628970868101,14,18
Decision Tree,uci,axis,ORACLE,0.7142857142857143,0.7104083588704182,13,14
Decision Tree,uci,axis,ORACLE,0.7428571428571429,0.7400529966487414,12,13
Decision Tree,uci,axis,ORACLE,0.7142857142857143,0.7141188041812484,11,23
Decision Tree,uci,axis,ORACLE,0.7285714285714285,0.7281612095770532,10,9
Decision Tree,uci,axis,ORACLE,0.7428571428571429,0.7412233665395982,9,7
Decision Tree,uci,axis,ORACLE,0.7428571428571429,0.7407243424676839,8,21
Decision Tree,uci,axis,ORACLE,0.7142857142857143,0.7127257799671594,7,15
Decision Tree,uci,axis,ORACLE,0.5928571428571429,0.590762921289237,6,8
Decision Tree,uci,axis,ORACLE,0.5714285714285714,0.5679802955665024,5,1
Decision Tree,uci,axis,ORACLE,0.5,0.4995431034482759,4,10
Decision Tree,uci,axis,ORACLE,0.3714285714285714,0.3590432724814063,3,16
Decision Tree,uci,axis,ORACLE,0.5214285714285715,0.520650931566741,2,17
Decision Tree,uci,axis,ORACLE,0.40714285714285714,0.4038745084176572,1,11
