Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,axis,ORACLE,0.9214285714285714,0.92105999263894,24,13
Random Forest,uci,axis,ORACLE,0.9214285714285714,0.921389820772761,23,4
Random Forest,uci,axis,ORACLE,0.9142857142857144,0.9140872550031928,22,17
Random Forest,uci,axis,ORACLE,0.9285714285714286,0.9284140858314628,21,21
Random Forest,uci,axis,ORACLE,0.9285714285714286,0.9287707884674878,20,9
Random Forest,uci,axis,ORACLE,0.9,0.900118478013215,19,16
Random Forest,uci,axis,ORACLE,0.9214285714285714,0.9213508399949076,18,18
Random Forest,uci,axis,ORACLE,0.9285714285714286,0.9286428295318606,17,22
Random Forest,uci,axis,ORACLE,0.9214285714285714,0.9215709009046238,16,10
Random Forest,uci,axis,ORACLE,0.9285714285714286,0.9282761098550572,15,8
Random Forest,uci,axis,ORACLE,0.9214285714285714,0.92112209629451,14,6
Random Forest,uci,axis,ORACLE,0.9071428571428573,0.9064363989151764,13,3
Random Forest,uci,axis,ORACLE,0.9,0.9000633237015846,12,5
Random Forest,uci,axis,ORACLE,0.9142857142857144,0.914497825895285,11,12
Random Forest,uci,axis,ORACLE,0.8785714285714286,0.8786900200693305,10,14
Random Forest,uci,axis,ORACLE,0.8571428571428571,0.8569920527815265,9,2
Random Forest,uci,axis,ORACLE,0.8857142857142857,0.885937571200729,8,19
Random Forest,uci,axis,ORACLE,0.8714285714285714,0.8709013914095584,7,23
Random Forest,uci,axis,ORACLE,0.8142857142857143,0.8115158163586804,6,0
Random Forest,uci,axis,ORACLE,0.7428571428571429,0.7390222775128436,5,7
Random Forest,uci,axis,ORACLE,0.75,0.7445120221097714,4,15
Random Forest,uci,axis,ORACLE,0.6571428571428571,0.6544194730001182,3,11
Random Forest,uci,axis,ORACLE,0.5928571428571429,0.5919357781426747,2,20
Random Forest,uci,axis,ORACLE,0.5714285714285714,0.5719165431093797,1,1
