Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,axis,LIME,0.8,0.7928444621494808,24,14
SVM,uci,axis,LIME,0.8,0.7928444621494808,23,17
SVM,uci,axis,LIME,0.8071428571428572,0.8005170091343766,22,3
SVM,uci,axis,LIME,0.8071428571428572,0.8005170091343766,21,5
SVM,uci,axis,LIME,0.8071428571428572,0.8005170091343766,20,2
SVM,uci,axis,LIME,0.7928571428571428,0.7867796759719159,19,10
SVM,uci,axis,LIME,0.7928571428571428,0.7867796759719159,18,11
SVM,uci,axis,LIME,0.7928571428571428,0.7867796759719159,17,9
SVM,uci,axis,LIME,0.7928571428571428,0.7867796759719159,16,18
SVM,uci,axis,LIME,0.7785714285714286,0.7731633562515915,15,23
SVM,uci,axis,LIME,0.7785714285714286,0.7731633562515915,14,19
SVM,uci,axis,LIME,0.7714285714285715,0.7651821581475028,13,7
SVM,uci,axis,LIME,0.7857142857142857,0.7806746941200723,12,6
SVM,uci,axis,LIME,0.7928571428571428,0.7880719584021292,11,13
SVM,uci,axis,LIME,0.7928571428571428,0.7880719584021292,10,15
SVM,uci,axis,LIME,0.8071428571428572,0.803619641903477,9,21
SVM,uci,axis,LIME,0.7857142857142857,0.7811136936747483,8,22
SVM,uci,axis,LIME,0.6714285714285714,0.6622553897180763,7,4
SVM,uci,axis,LIME,0.7214285714285714,0.7164749819212062,6,16
SVM,uci,axis,LIME,0.7071428571428572,0.701008273256192,5,8
SVM,uci,axis,LIME,0.7071428571428572,0.7006404470234256,4,20
SVM,uci,axis,LIME,0.7,0.6932330396160183,3,12
SVM,uci,axis,LIME,0.6,0.5770497618323706,2,1
SVM,uci,axis,LIME,0.44285714285714284,0.43387755102040815,1,0
