Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,axis,SHAP,0.8,0.7928444621494808,24,3
SVM,uci,axis,SHAP,0.8071428571428572,0.8005170091343766,23,17
SVM,uci,axis,SHAP,0.8071428571428572,0.8005170091343766,22,14
SVM,uci,axis,SHAP,0.8071428571428572,0.8005170091343766,21,2
SVM,uci,axis,SHAP,0.7928571428571428,0.7867796759719159,20,5
SVM,uci,axis,SHAP,0.7928571428571428,0.7867796759719159,19,10
SVM,uci,axis,SHAP,0.7928571428571428,0.7867796759719159,18,11
SVM,uci,axis,SHAP,0.7928571428571428,0.7867796759719159,17,9
SVM,uci,axis,SHAP,0.7928571428571428,0.7867796759719159,16,4
SVM,uci,axis,SHAP,0.7928571428571428,0.7855371250824584,15,18
SVM,uci,axis,SHAP,0.7928571428571428,0.7889037804176396,14,19
SVM,uci,axis,SHAP,0.7857142857142857,0.7813924425491591,13,6
SVM,uci,axis,SHAP,0.8142857142857143,0.8122301281422765,12,23
SVM,uci,axis,SHAP,0.7928571428571428,0.7892618573411243,11,13
SVM,uci,axis,SHAP,0.7928571428571428,0.7892618573411243,10,7
SVM,uci,axis,SHAP,0.8071428571428572,0.8045204260796333,9,22
SVM,uci,axis,SHAP,0.7928571428571428,0.7892690883995233,8,21
SVM,uci,axis,SHAP,0.7285714285714285,0.7181484409310497,7,16
SVM,uci,axis,SHAP,0.7214285714285714,0.7111335222954355,6,20
SVM,uci,axis,SHAP,0.7357142857142858,0.7259472232253427,5,8
SVM,uci,axis,SHAP,0.7142857142857143,0.7035833333333332,4,15
SVM,uci,axis,SHAP,0.7,0.6932330396160183,3,1
SVM,uci,axis,SHAP,0.6357142857142857,0.6363939225416495,2,12
SVM,uci,axis,SHAP,0.44285714285714284,0.43387755102040815,1,0
