Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,sensor,ORACLE,0.7642857142857142,0.7636210842832291,24,4
Decision Tree,uci,sensor,ORACLE,0.7857142857142857,0.7846708208777173,23,2
Decision Tree,uci,sensor,ORACLE,0.7785714285714286,0.7782674199623353,22,20
Decision Tree,uci,sensor,ORACLE,0.7714285714285715,0.7711913884327677,21,16
Decision Tree,uci,sensor,ORACLE,0.75,0.7494179894179893,20,13
Decision Tree,uci,sensor,ORACLE,0.75,0.7494590169058719,19,8
Decision Tree,uci,sensor,ORACLE,0.7571428571428571,0.7570017788085123,18,11
Decision Tree,uci,sensor,ORACLE,0.7714285714285715,0.7708070513878136,17,18
Decision Tree,uci,sensor,ORACLE,0.7571428571428571,0.7571453108295214,16,9
Decision Tree,uci,sensor,ORACLE,0.7642857142857142,0.764658251632657,15,14
Decision Tree,uci,sensor,ORACLE,0.75,0.7503229011425733,14,23
Decision Tree,uci,sensor,ORACLE,0.7571428571428571,0.7567821082728573,13,15
Decision Tree,uci,sensor,ORACLE,0.7357142857142858,0.7353964291649474,12,3
Decision Tree,uci,sensor,ORACLE,0.7214285714285714,0.7214118193428538,11,21
Decision Tree,uci,sensor,ORACLE,0.75,0.7510426392779334,10,12
Decision Tree,uci,sensor,ORACLE,0.7785714285714286,0.7783342455756248,9,1
Decision Tree,uci,sensor,ORACLE,0.7714285714285715,0.7713373471994162,8,10
Decision Tree,uci,sensor,ORACLE,0.7928571428571428,0.7924137931034482,7,6
Decision Tree,uci,sensor,ORACLE,0.7571428571428571,0.7569924812030074,6,5
Decision Tree,uci,sensor,ORACLE,0.6785714285714286,0.6746973886328724,5,17
Decision Tree,uci,sensor,ORACLE,0.6357142857142857,0.6288143521291463,4,7
Decision Tree,uci,sensor,ORACLE,0.6571428571428571,0.6562823795689934,3,0
Decision Tree,uci,sensor,ORACLE,0.5571428571428572,0.5528164567320529,2,19
Decision Tree,uci,sensor,ORACLE,0.4642857142857143,0.46353123864274626,1,22
