Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,sensor,SHAP,0.7642857142857142,0.7636210842832291,24,10
Decision Tree,uci,sensor,SHAP,0.7357142857142858,0.7346795193933027,23,13
Decision Tree,uci,sensor,SHAP,0.7642857142857142,0.763811977496188,22,23
Decision Tree,uci,sensor,SHAP,0.7285714285714285,0.7262820964695228,21,4
Decision Tree,uci,sensor,SHAP,0.7642857142857142,0.7630178214002539,20,11
Decision Tree,uci,sensor,SHAP,0.7785714285714286,0.7771209997084099,19,18
Decision Tree,uci,sensor,SHAP,0.7642857142857142,0.7628080753059969,18,16
Decision Tree,uci,sensor,SHAP,0.7714285714285715,0.7706035465828391,17,8
Decision Tree,uci,sensor,SHAP,0.7428571428571429,0.7419934039129086,16,15
Decision Tree,uci,sensor,SHAP,0.7571428571428571,0.7564992445417301,15,2
Decision Tree,uci,sensor,SHAP,0.8,0.7998366884954322,14,7
Decision Tree,uci,sensor,SHAP,0.7714285714285715,0.7702117967971059,13,20
Decision Tree,uci,sensor,SHAP,0.7285714285714285,0.7276716952370406,12,1
Decision Tree,uci,sensor,SHAP,0.7714285714285715,0.7703099304237824,11,21
Decision Tree,uci,sensor,SHAP,0.7071428571428572,0.706323170870975,10,22
Decision Tree,uci,sensor,SHAP,0.7,0.6985688435076643,9,9
Decision Tree,uci,sensor,SHAP,0.75,0.7498216128556686,8,6
Decision Tree,uci,sensor,SHAP,0.7214285714285714,0.7227806605389541,7,14
Decision Tree,uci,sensor,SHAP,0.7142857142857143,0.7144864075898558,6,5
Decision Tree,uci,sensor,SHAP,0.6714285714285714,0.6697113968052582,5,12
Decision Tree,uci,sensor,SHAP,0.6428571428571429,0.6408657542797979,4,17
Decision Tree,uci,sensor,SHAP,0.5642857142857143,0.5598857452814379,3,3
Decision Tree,uci,sensor,SHAP,0.5714285714285714,0.570708903921245,2,19
Decision Tree,uci,sensor,SHAP,0.4857142857142857,0.48498745188400355,1,0
