Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,uci,sensor,Tree,0.7642857142857142,0.7636210842832291,24,10
Decision Tree,uci,sensor,Tree,0.7357142857142858,0.7346795193933027,23,13
Decision Tree,uci,sensor,Tree,0.7642857142857142,0.763811977496188,22,16
Decision Tree,uci,sensor,Tree,0.7285714285714285,0.728433405674785,21,23
Decision Tree,uci,sensor,Tree,0.7428571428571429,0.740840351713544,20,8
Decision Tree,uci,sensor,Tree,0.75,0.7493132533270582,19,2
Decision Tree,uci,sensor,Tree,0.7642857142857142,0.763635300171791,18,15
Decision Tree,uci,sensor,Tree,0.7714285714285715,0.7711682540945498,17,11
Decision Tree,uci,sensor,Tree,0.7714285714285715,0.7705188103949714,16,18
Decision Tree,uci,sensor,Tree,0.7714285714285715,0.7709760341858615,15,1
Decision Tree,uci,sensor,Tree,0.7428571428571429,0.7400715477447809,14,4
Decision Tree,uci,sensor,Tree,0.75,0.7497895208240036,13,14
Decision Tree,uci,sensor,Tree,0.7571428571428571,0.7563750056383902,12,22
Decision Tree,uci,sensor,Tree,0.7142857142857143,0.7140686337927719,11,7
Decision Tree,uci,sensor,Tree,0.7357142857142858,0.7342510418291427,10,20
Decision Tree,uci,sensor,Tree,0.7,0.6999578706629352,9,9
Decision Tree,uci,sensor,Tree,0.7285714285714285,0.7278327289637946,8,21
Decision Tree,uci,sensor,Tree,0.7714285714285715,0.7708159287106655,7,6
Decision Tree,uci,sensor,Tree,0.7142857142857143,0.7144864075898558,6,12
Decision Tree,uci,sensor,Tree,0.6785714285714286,0.6770638220110559,5,5
Decision Tree,uci,sensor,Tree,0.6428571428571429,0.6408657542797979,4,3
Decision Tree,uci,sensor,Tree,0.65,0.6497325326281953,3,17
Decision Tree,uci,sensor,Tree,0.5714285714285714,0.570708903921245,2,19
Decision Tree,uci,sensor,Tree,0.4857142857142857,0.48498745188400355,1,0
