Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,sensor,ORACLE,0.8357142857142857,0.8349293924466339,24,15
Random Forest,uci,sensor,ORACLE,0.85,0.8501586173727471,23,10
Random Forest,uci,sensor,ORACLE,0.8071428571428572,0.8071805784055975,22,0
Random Forest,uci,sensor,ORACLE,0.8142857142857143,0.8139303997699165,21,21
Random Forest,uci,sensor,ORACLE,0.8285714285714286,0.8277569158004731,20,18
Random Forest,uci,sensor,ORACLE,0.8428571428571429,0.8420471869328494,19,13
Random Forest,uci,sensor,ORACLE,0.8142857142857143,0.8124988512843441,18,8
Random Forest,uci,sensor,ORACLE,0.8214285714285714,0.8201806918682772,17,19
Random Forest,uci,sensor,ORACLE,0.8357142857142857,0.8355407583120374,16,14
Random Forest,uci,sensor,ORACLE,0.8285714285714286,0.82910534809913,15,11
Random Forest,uci,sensor,ORACLE,0.8571428571428571,0.8573742047426258,14,4
Random Forest,uci,sensor,ORACLE,0.8214285714285714,0.8202822285199269,13,9
Random Forest,uci,sensor,ORACLE,0.8357142857142857,0.8352336579152799,12,7
Random Forest,uci,sensor,ORACLE,0.8285714285714286,0.8272223545288562,11,6
Random Forest,uci,sensor,ORACLE,0.85,0.8502307852662152,10,16
Random Forest,uci,sensor,ORACLE,0.8214285714285714,0.8209850025520258,9,17
Random Forest,uci,sensor,ORACLE,0.8,0.8008460594301002,8,3
Random Forest,uci,sensor,ORACLE,0.7857142857142857,0.7855933141015824,7,20
Random Forest,uci,sensor,ORACLE,0.7928571428571428,0.7922964185349443,6,1
Random Forest,uci,sensor,ORACLE,0.7857142857142857,0.7856578189958425,5,22
Random Forest,uci,sensor,ORACLE,0.6785714285714286,0.6749076242518866,4,2
Random Forest,uci,sensor,ORACLE,0.7285714285714285,0.728042328042328,3,5
Random Forest,uci,sensor,ORACLE,0.5857142857142857,0.5781155714144117,2,23
Random Forest,uci,sensor,ORACLE,0.5,0.4970377241805813,1,12
