Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,sensor,Random Forest,0.8357142857142857,0.8349293924466339,24,4
Random Forest,uci,sensor,Random Forest,0.8285714285714286,0.8283384932920537,23,11
Random Forest,uci,sensor,Random Forest,0.8357142857142857,0.8354517309316071,22,8
Random Forest,uci,sensor,Random Forest,0.8214285714285714,0.8209479436295657,21,18
Random Forest,uci,sensor,Random Forest,0.8142857142857143,0.8135590757371014,20,15
Random Forest,uci,sensor,Random Forest,0.8142857142857143,0.8135590757371014,19,10
Random Forest,uci,sensor,Random Forest,0.8214285714285714,0.8207315523832623,18,14
Random Forest,uci,sensor,Random Forest,0.8428571428571429,0.8430839336102494,17,20
Random Forest,uci,sensor,Random Forest,0.8428571428571429,0.8423514524014957,16,3
Random Forest,uci,sensor,Random Forest,0.8285714285714286,0.8284641274987117,15,16
Random Forest,uci,sensor,Random Forest,0.8428571428571429,0.8426242075777679,14,22
Random Forest,uci,sensor,Random Forest,0.8285714285714286,0.8281532567049809,13,6
Random Forest,uci,sensor,Random Forest,0.8357142857142857,0.8357884966686882,12,23
Random Forest,uci,sensor,Random Forest,0.8142857142857143,0.8144862603602897,11,2
Random Forest,uci,sensor,Random Forest,0.8214285714285714,0.8212231759383407,10,13
Random Forest,uci,sensor,Random Forest,0.85,0.8499361180003465,9,1
Random Forest,uci,sensor,Random Forest,0.8,0.7995453384418901,8,19
Random Forest,uci,sensor,Random Forest,0.8357142857142857,0.8356299316734889,7,17
Random Forest,uci,sensor,Random Forest,0.7785714285714286,0.7780820830356434,6,9
Random Forest,uci,sensor,Random Forest,0.8,0.7996028611081456,5,21
Random Forest,uci,sensor,Random Forest,0.6785714285714286,0.6766513546313961,4,5
Random Forest,uci,sensor,Random Forest,0.6357142857142857,0.6359541081442609,3,12
Random Forest,uci,sensor,Random Forest,0.5857142857142857,0.5867583728351458,2,7
Random Forest,uci,sensor,Random Forest,0.4857142857142857,0.48498745188400355,1,0
